"model","signature_rank","gene","age_only_logFC","age_only_t","age_only_p_value","age_only_adj_p_value","sex_linked_flag","module","reliability_pass","weight","rank_score","training_mean","training_sd"
"age_only_de",1,"Plcb1",-8.44648698530266,-6.90736677570058,2.90175066444832e-07,0.00337304209408382,FALSE,"young_high",TRUE,58.342983573667,58.342983573667,1.51698422595541,1.78502399597702
"age_only_de",2,"Scml4",-7.92900716733324,-6.02711123949426,2.58737727202701e-06,0.00474007516235348,FALSE,"young_high",TRUE,47.7890082162647,47.7890082162647,0.985486275645563,1.41349799396382
"age_only_de",3,"Dgkb",-7.79821201421062,-5.40128195032101,1.28301265686885e-05,0.0112467920779538,FALSE,"young_high",TRUE,42.1203417971322,42.1203417971322,0.7175977002595,1.25367529819895
"age_only_de",4,"Gm16515",-8.10216265866713,-4.92271906257689,4.43840845716019e-05,0.0244974147032792,FALSE,"young_high",TRUE,39.8846705679193,39.8846705679193,1.21450049615635,1.55082511515969
"age_only_de",5,"A630033H20Rik",-7.74704167256497,-4.93183097585513,4.33440918368302e-05,0.0244974147032792,FALSE,"young_high",TRUE,38.2071000919964,38.2071000919964,1.03656801135516,1.5443514189132
"age_only_de",6,"Postn",-8.00612759186668,-4.70459287803585,7.83281399151029e-05,0.0301987221300598,FALSE,"young_high",TRUE,37.6655708493423,37.6655708493423,4.4314826253923,3.56529440451891
"age_only_de",7,"Nek4",-7.65670671684456,-4.81986389806277,5.80117713124569e-05,0.0245243584664211,FALSE,"young_high",TRUE,36.9042842825738,36.9042842825738,1.04800306332634,1.78407263536535
"age_only_de",8,"Suox",-7.40846499848963,-4.96614568649504,3.96423251401929e-05,0.0244974147032792,FALSE,"young_high",TRUE,36.7915164957987,36.7915164957987,2.01840655315644,1.95533195168984
"age_only_de",9,"Brwd3",-7.28556820157282,-4.90210977725964,4.68296497312832e-05,0.0244974147032792,FALSE,"young_high",TRUE,35.7146551138221,35.7146551138221,1.01886360695336,1.3539309456965
"age_only_de",10,"Fam132b",-8.39978262025864,-4.17223843155687,0.000312758956490806,0.0564904346202549,FALSE,"young_high",TRUE,35.0458958649666,35.0458958649666,1.56511381998733,2.65674492886216
"age_only_de",11,"Zfp943",-7.11003862057519,-4.74692364915395,7.01495984630349e-05,0.0281124515840612,FALSE,"young_high",TRUE,33.7508104744063,33.7508104744063,1.36601263120984,1.6783403668412
"age_only_de",12,"Olfr267",-7.06127870981258,-4.58237317141668,0.000107695179827414,0.0394595138887644,FALSE,"young_high",TRUE,32.357414115741,32.357414115741,0.580525688444477,1.0999853951594
"age_only_de",13,"6720456H20Rik",-6.65775763352773,-4.85055698561568,5.35556637120591e-05,0.0244974147032792,FALSE,"young_high",TRUE,32.293832797844,32.293832797844,1.95973845272981,1.93674586136346
"age_only_de",14,"Tbck",-7.26591643461308,-4.40379345726515,0.00017143388452892,0.0467759177701887,FALSE,"young_high",TRUE,31.9975952557844,31.9975952557844,1.23032913695403,1.45717604705357
"age_only_de",15,"Atp8b2",-6.59994195145323,-4.55481720615833,0.000115708926452471,0.0401040884547698,FALSE,"young_high",TRUE,30.0615291601253,30.0615291601253,1.56516684953363,1.8357197399403
"age_only_de",16,"Dhx34",-6.64955585579417,-4.47470080613228,0.000142548992118626,0.0425127505797504,FALSE,"young_high",TRUE,29.7547729483438,29.7547729483438,0.938764902470093,1.29742792736412
"age_only_de",17,"Sema3d",-6.96851873788868,-4.12773863278727,0.000350954689740678,0.0598169089399786,FALSE,"young_high",TRUE,28.7642240076851,28.7642240076851,1.23267673513746,1.80399145097369
"age_only_de",18,"Lass6",-6.31377964460584,-4.34929603383665,0.000197533048423865,0.0506022637434747,FALSE,"young_high",TRUE,27.4604967668027,27.4604967668027,2.19288640098383,1.92115106774832
"age_only_de",19,"Clcn2",-6.70011120671496,-4.07663366031209,0.000400543135529077,0.0632684713286218,FALSE,"young_high",TRUE,27.3138988731284,27.3138988731284,1.35259842870983,1.72749861122806
"age_only_de",20,"Fam110a",-6.69794566372248,-4.05295289545047,0.000425812510109025,0.0632684713286218,FALSE,"young_high",TRUE,27.146458271354,27.146458271354,1.25261544798319,1.69933091603859
"age_only_de",21,"Mical3",-6.30332670345221,-4.24611209425239,0.000258240720352677,0.0549663481734062,FALSE,"young_high",TRUE,26.7646317495524,26.7646317495524,0.936791484061971,1.29608769134129
"age_only_de",22,"Vash1",-6.29185304744797,-4.19646973543883,0.000293723590362398,0.0549663481734062,FALSE,"young_high",TRUE,26.403570893444,26.403570893444,2.12375372220714,1.85422796971975
"age_only_de",23,"Chml",-6.42882456274318,-4.04883034458793,0.000430369917114845,0.0632684713286218,FALSE,"young_high",TRUE,26.0292199696668,26.0292199696668,1.82549853146658,1.7568157094974
"age_only_de",24,"Osbpl10",-6.30856080279143,-4.1238564451696,0.000354498212682344,0.0598169089399786,FALSE,"young_high",TRUE,26.0155991263357,26.0155991263357,0.43465212183852,0.72446582855551
"age_only_de",25,"Pcdhb14",-6.74191597156534,-3.85754923382527,0.000704145606442343,0.0799111792656337,FALSE,"young_high",TRUE,26.0072727906262,26.0072727906262,0.957066770930318,1.37249246967002
"age_only_de",26,"Vstm2b",-6.77065102463528,-3.81519802465625,0.00078486000422013,0.0845802075136046,FALSE,"young_high",TRUE,25.8313744148254,25.8313744148254,1.26957477363676,1.44153124192674
"age_only_de",27,"Awat2",-6.24145151588064,-4.0494805174325,0.000429647973582033,0.0632684713286218,FALSE,"young_high",TRUE,25.2746363140582,25.2746363140582,0.440738078857648,0.814688161195311
"age_only_de",28,"Tsen2",-6.0019516842055,-4.19096567366282,0.00029794399483231,0.0549663481734062,FALSE,"young_high",TRUE,25.153973483488,25.153973483488,2.3896433654013,1.94559758702051
"age_only_de",29,"4933407K13Rik",-6.51885213685879,-3.82675873321907,0.00076196600416625,0.0832540810706509,FALSE,"young_high",TRUE,24.9460743452881,24.9460743452881,0.951513532758803,1.27546457269222
"age_only_de",30,"Fastkd5",-6.61461134878595,-3.68520901636532,0.00109364306069427,0.0934991907356221,FALSE,"young_high",TRUE,24.3762253822984,24.3762253822984,1.20231588033669,1.52355284520966
"age_only_de",31,"2010310C07Rik",-6.20188259927477,-3.89712082468963,0.000636137656163134,0.0754785648895075,FALSE,"young_high",TRUE,24.1694858299139,24.1694858299139,0.541494762524592,0.721871164271312
"age_only_de",32,"Slc26a6",-6.24178505364956,-3.84782392873975,0.000721925860295391,0.0805041498472009,FALSE,"young_high",TRUE,24.0172898874829,24.0172898874829,0.713636382542876,0.97984927719318
"age_only_de",33,"Tmem132c",-6.54657622640349,-3.66718500066264,0.00114493214923748,0.0954045108346216,FALSE,"young_high",TRUE,24.0075061431615,24.0075061431615,1.17102058220966,1.41664486095351
"age_only_de",34,"Alas2",-6.1039871166305,-3.89382595888404,0.000641544258652239,0.0754785648895075,FALSE,"young_high",TRUE,23.7678634874296,23.7678634874296,0.621369428875703,1.3257917416918
"age_only_de",35,"Camsap3",-6.22426223437914,-3.78122438350443,0.00085612222313321,0.0878312911156823,FALSE,"young_high",TRUE,23.5353321299602,23.5353321299602,0.872622179712816,1.3285702054872
"age_only_de",36,"Pcdhgb2",-6.25377060062942,-3.74497365532075,0.000939168675084807,0.0902589688386686,FALSE,"young_high",TRUE,23.4202061457766,23.4202061457766,0.646503219822559,1.29131032752828
"age_only_de",37,"Tes",-6.19703827185626,-3.72551696860179,0.000986949936860055,0.090939063101732,FALSE,"young_high",TRUE,23.0871712368752,23.0871712368752,0.992448812596041,1.61286833897249
"age_only_de",38,"Xylb",-6.30131991625613,-3.65829663601875,0.00117108435884898,0.0961144882719578,FALSE,"young_high",TRUE,23.0520974521177,23.0520974521177,0.718225372955279,1.26511293996295
"age_only_de",39,"Arl5c",-6.09715646691334,-3.69063768690641,0.0010786409937282,0.0928355174736273,FALSE,"young_high",TRUE,22.5023954397555,22.5023954397555,0.895853404221098,1.3013041357558
"age_only_de",40,"Gm20257",-5.92165589658741,-3.74834041654387,0.000931134162212615,0.0902589688386686,FALSE,"young_high",TRUE,22.196382130044,22.196382130044,0.459898543931098,0.751344853192251
"age_only_de",41,"Prosapip1",-5.93924718064991,-3.71133593688334,0.00102326896907691,0.090939063101732,FALSE,"young_high",TRUE,22.0425414995791,22.0425414995791,0.536757877494429,1.03266548146253
"age_only_de",42,"Mertk",-6.06926994234285,-3.60882735780069,0.00132766879772119,0.102524019441369,FALSE,"young_high",TRUE,21.9029474098043,21.9029474098043,0.691100640955342,1.18718474942998
"age_only_de",43,"Hist1h4c",-5.91546098812235,-3.70202933439132,0.00104781260852797,0.0920352663819364,FALSE,"young_high",TRUE,21.8992101044764,21.8992101044764,0.512695281000498,0.739949245666931
"age_only_de",44,"5930412G12Rik",-6.05402188856221,-3.61331250711435,0.00131266728435596,0.102524019441369,FALSE,"young_high",TRUE,21.8750730082859,21.8750730082859,0.66731070413817,1.05970654685933
"age_only_de",45,"Ccdc15",-6.05997019858691,-3.6020470849646,0.00135066533974707,0.103100787600693,FALSE,"young_high",TRUE,21.8282979887923,21.8282979887923,1.22829325722938,1.26924225044127
"age_only_de",46,"H19",-6.15962760852834,-3.51097658167766,0.00169990469470607,0.109388869159509,FALSE,"young_high",TRUE,21.6263082853982,21.6263082853982,1.21226658259737,1.52687267342324
"age_only_de",47,"Nup133",-5.8157525108257,-3.69409743555496,0.00106918537359461,0.0926434677768736,FALSE,"young_high",TRUE,21.4839564360635,21.4839564360635,2.2821560899343,2.12778330935581
"age_only_de",48,"Pde5a",-5.79425606644093,-3.61644426107255,0.0013022908200191,0.102457530527147,FALSE,"young_high",TRUE,20.9546040986651,20.9546040986651,1.60814901535163,1.70867677772662
"age_only_de",49,"Fgd5",-6.11306151793556,-3.42473855803256,0.00211084366082837,0.116324862355683,FALSE,"young_high",TRUE,20.935637488099,20.935637488099,1.53999288937689,1.63394182948361
"age_only_de",50,"Pde4c",-6.0186088239713,-3.44893264168289,0.00198669907698539,0.116324862355683,FALSE,"young_high",TRUE,20.7577764305153,20.7577764305153,0.878810615872059,1.18272517981867
"age_only_de",51,"Chchd10",6.55339245475022,4.30315931336411,0.000222691670620838,0.0528851478526227,FALSE,"old_high",TRUE,28.2002917757885,28.2002917757885,1.47500517039108,1.50831539976428
"age_only_de",52,"Aox3",6.69168265809956,4.18826769774301,0.000300034651601562,0.0549663481734062,FALSE,"old_high",TRUE,28.0265583204655,28.0265583204655,2.17899456477534,1.78848703211307
"age_only_de",53,"Nrxn2",5.82894369737625,4.36096901630754,0.000191629074415692,0.0501520663327926,FALSE,"old_high",TRUE,25.4198428620589,25.4198428620589,1.28958467508492,1.16431167588137
"age_only_de",54,"Acot1",5.72406554693477,3.70943302621918,0.00102824112209538,0.090939063101732,FALSE,"old_high",TRUE,21.2330377840432,21.2330377840432,1.99710541229476,1.56110424447021
"age_only_de",55,"Msrb2",5.16676238414898,3.38989420915224,0.00230296350932337,0.119894440457384,FALSE,"old_high",TRUE,17.5147778860923,17.5147778860923,2.44354297656001,1.76269478350503
