"model","signature_rank","gene","age_only_logFC","age_only_t","age_only_p_value","age_only_adj_p_value","female_logFC","female_t","male_logFC","male_t","common_logFC","common_t","common_p_value","common_adj_p_value","interaction_logFC","interaction_t","sex_linked_flag","female_direction","male_direction","common_direction","age_only_direction","sex_direction_concordant","age_only_common_concordant","interaction_ratio","interaction_penalty","reliability_pass","module","weight","rank_score","training_mean","training_sd"
"factorial_medium_original",1,"Scml4",-7.92900716733324,-6.02711123949426,2.58737727202701e-06,0.00474007516235348,-9.05918605442661,-3.76756889641171,-7.55987517287401,-4.70296003851275,-8.30953061365031,-5.74587413179717,7.73219432432713e-06,0.0180331583835999,1.4993108815526,0.51837173544335,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.090216334775475,0.917249144139769,TRUE,"young_high",43.7945346050818,43.7945346050818,0.985486275645563,1.41349799396382
"factorial_medium_original",2,"Plcb1",-8.44648698530266,-6.90736677570058,2.90175066444832e-07,0.00337304209408382,-6.52103743699229,-2.59135298664227,-9.22183223891904,-6.60552313272884,-7.87143483795566,-5.4704935568474,1.50667820636284e-05,0.0241520516479963,-2.70079480192675,-0.938499833033266,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.171556691122371,0.853565181759991,TRUE,"young_high",36.7550575149102,36.7550575149102,1.51698422595541,1.78502399597702
"factorial_medium_original",3,"Gm16515",-8.10216265866713,-4.92271906257689,4.43840845716019e-05,0.0244974147032792,-9.9566862839517,-3.9941244185226,-6.83620594965665,-3.19463026366824,-8.39644611680418,-5.11147359566473,3.62917290441047e-05,0.0358003948662769,3.12048033429505,0.949821663395078,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.185821483581513,0.843297253292899,TRUE,"young_high",36.1928108216097,36.1928108216097,1.21450049615635,1.55082511515969
"factorial_medium_original",4,"A630033H20Rik",-7.74704167256497,-4.93183097585513,4.33440918368302e-05,0.0244974147032792,-9.82246730458796,-3.87532414475546,-6.74651712504282,-3.39201869644085,-8.28449221481539,-5.1427300284119,3.36056143953518e-05,0.0358003948662769,3.07595017954515,0.95472244671536,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.185645053078768,0.843422740560758,TRUE,"young_high",35.9339473248283,35.9339473248283,1.03656801135516,1.5443514189132
"factorial_medium_original",5,"Dgkb",-7.79821201421062,-5.40128195032101,1.28301265686885e-05,0.0112467920779538,-7.30043543994625,-2.68849511139406,-8.11707177952126,-4.65591341336512,-7.70875360973376,-4.77778118722376,8.2753354480684e-05,0.0544522265497601,-0.816636339575006,-0.253070077054875,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.0529681144287537,0.94969637379999,TRUE,"young_high",34.9780182978382,34.9780182978382,0.7175977002595,1.25367529819895
"factorial_medium_original",6,"Olfr267",-7.06127870981258,-4.58237317141668,0.000107695179827414,0.0394595138887644,-10.0228159511958,-4.72115255156547,-5.26486021670883,-3.00013973155809,-7.64383808395232,-5.55034311265166,1.24081671839389e-05,0.022731762280976,4.75795573448699,1.72742322320076,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.311228166465732,0.762643775945866,TRUE,"young_high",32.355866925772,32.355866925772,0.580525688444477,1.0999853951594
"factorial_medium_original",7,"Tbck",-7.26591643461308,-4.40379345726515,0.00017143388452892,0.0467759177701887,-10.7750346771537,-4.39935239499362,-5.59205589533633,-2.65350603097994,-8.18354528624504,-5.06549630319162,4.06424219679078e-05,0.0372284585226036,5.18297878181742,1.60409449330874,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.316670726675044,0.759491328956083,TRUE,"young_high",31.4837396735914,31.4837396735914,1.23032913695403,1.45717604705357
"factorial_medium_original",8,"Fam132b",-8.39978262025864,-4.17223843155687,0.000312758956490806,0.0564904346202549,-6.50753189252191,-1.76473099685504,-10.3167629232445,-5.24146799855009,-8.41214740788323,-4.02497302188171,0.000536051067741759,0.159867881226054,-3.80923103072263,-0.91130429540531,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.226412509173365,0.815386334141379,TRUE,"young_high",27.6078938526514,27.6078938526514,1.56511381998733,2.65674492886216
"factorial_medium_original",9,"Chml",-6.42882456274318,-4.04883034458793,0.000430369917114845,0.0632684713286218,-8.12096493948698,-2.70027927646242,-6.36463681644908,-3.65092455671012,-7.24280087796803,-4.16709894382364,0.000376897110603972,0.129359927751919,1.7563281230379,0.5052460498246,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.121246464688408,0.891864573484206,TRUE,"young_high",26.917781985866,26.917781985866,1.82549853146658,1.7568157094974
"factorial_medium_original",10,"Tmem132c",-6.54657622640349,-3.66718500066264,0.00114493214923748,0.0954045108346216,-6.94898270724338,-2.06078743860225,-7.05807124248105,-3.60507205103162,-7.00352697486221,-3.59232519806891,0.00155440698152548,0.239133709989759,-0.109088535237662,-0.027977438750594,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.00778811360626584,0.992272072372042,TRUE,"young_high",24.9645199099681,24.9645199099681,1.17102058220966,1.41664486095351
