mouse_id,age_group,mean_n_genes_detected
18-F-50,Old,1503.98
18-F-51,Old,1608.7121771217712
18-M-52,Old,1737.3990963855422
18-M-53,Old,1915.7066805845511
21-F-54,Old,1905.0483870967741
21-F-55,Old,1890.3779015784587
24-M-58,Old,1809.8783930510315
24-M-59,Old,1975.703157894737
24-M-60,Old,1596.9785522788204
24-M-61,Old,1711.7983333333334
3-F-56,Young,2039.909090909091
3-F-57,Young,2005.4555112881806
