epoch,train_loss,validation_loss,learning_rate
1,0.7361882533432114,0.7160092765123609,3.75e-05
2,0.7205450135328193,0.7033715118238645,7.5e-05
3,0.709112370834571,0.7084918507027771,0.0001125
4,0.7132305028232968,0.6992371312976293,0.00015
5,0.6944219062628615,0.687290302930488,0.00018749999999999998
6,0.7065331395002351,0.6752923638000269,0.000225
7,0.6835313091388711,0.6598604539551429,0.0002625
8,0.6676825597794249,0.6792569292578201,0.0003
9,0.630880016099178,0.6121956423275822,0.00029985723323727866
10,0.640905043466514,0.7982678891096477,0.0002994292047137618
11,0.6218159018830985,0.6069195223589047,0.00029871672920607153
12,0.6172286941899376,0.7679672154499955,0.0002977211629518312
13,0.6050138304809537,0.5995257093065209,0.00029644440106799
14,0.5833405045546834,0.8400173026932489,0.0002948888739433602
15,0.5907976358081782,0.6179819493193646,0.000293057542612234
16,0.5530724196501037,0.7171246324469951,0.0002909538931178862
17,0.5354625783362382,0.559830728873326,0.000288581929876693
18,0.46707086833164474,0.5246638491328717,0.0002859461680554975
19,0.4520485703011199,0.7390137569716109,0.0002830516249767332
20,0.39734133892603607,0.4041636195925463,0.0002799038105676658
21,0.30353716428686517,0.39956220195574604,0.0002765087168719328
22,0.29639749213573635,0.39013045699269333,0.00027287280664334875
23,0.30332217214091495,0.43608901855591,0.00026900300104368524
24,0.34193184896072026,0.6112449098094148,0.00026490666646784665
25,0.3082763114967035,0.42838808508487425,0.0002605916005215186
26,0.24270746847522134,0.612582874013968,0.00025606601717798207
27,0.29535300102006484,0.9628225856641367,0.00025133853114234905
28,0.23513803088104318,0.342883185087702,0.0002464181414529809
29,0.19363553994696542,0.39693226280484395,0.00024131421435130807
30,0.16448767945151951,0.40147142698178023,0.00023603646545265687
31,0.1864963189924333,0.5810589477452344,0.00023059494125202357
32,0.1839532757859768,0.8352963564913929,0.000225
33,0.2223245769932445,0.45375019412138196,0.0002192622919852551
34,0.1879499563600084,0.7927206326323125,0.0002133927392611049
35,0.1872246219137415,0.42104118860308337,0.00020740251485476345
36,0.15720503663687968,0.44698311994693524,0.00020130302149885031
37,0.14629388351236944,0.5403782215516105,0.00019510586992564093
38,0.1993186483000508,0.7146377837613702,0.0001888228567653781
39,0.12253852594982494,0.6318354102053704,0.0001824659420907154
40,0.24663933660044815,0.6886470187589623,0.00017604722665003956
