epoch,train_loss,validation_loss,learning_rate
1,0.7441688635365321,0.7326528193026007,3.75e-05
2,0.7148176610171806,0.7277655472077129,7.5e-05
3,0.6975173740190983,0.7396362984303373,0.0001125
4,0.7053759750054807,0.7526485912307934,0.00015
5,0.6992821565078088,0.7798000283390625,0.00018749999999999998
6,0.6627211745904417,0.8162729648619698,0.000225
7,0.6489596990094983,0.9529020974719534,0.0002625
8,0.6011891500827575,1.2568965295559529,0.0003
9,0.5438341094996533,1.7996275321607167,0.00029985723323727866
10,0.5413168576298928,2.082994246933756,0.0002994292047137618
11,0.564874931183642,2.066557256021974,0.00029871672920607153
12,0.507490181203097,1.9105923327257344,0.0002977211629518312
13,0.4857102613756506,1.8315645113921906,0.00029644440106799
14,0.49219152495565976,1.8148307005073063,0.0002948888739433602
