"pc","spearman_age_months","spearman_sex_male_numeric","spearman_n_cells","spearman_raw_library_size","spearman_effective_library_size_tmm","spearman_detected_genes"
"PC1",0.417238435535261,0.470678724331642,-0.193619479099445,0.340659340659341,-0.226373626373626,-0.951648351648352
"PC2",-0.651642051004509,0.0784464540552736,-0.598460208125558,-0.832967032967033,-0.661538461538462,0.0945054945054945
"PC3",-0.431302652463416,0.156892908110547,-0.319032096243404,-0.384615384615385,-0.0945054945054945,0.2
