"signature_version","n_folds","zero_signature_folds","median_signature_size","all_spearman_age","old_only_spearman_age","young_old_auc","young_median","old_median","score_cor_library","score_cor_detected","score_cor_cell_count","median_gene_coverage","median_weighted_gene_coverage","median_ribosomal_fraction","median_cell_cycle_fraction","median_gene_library_burden","median_gene_detected_burden","median_gene_cell_count_burden"
"Small",14,0,40,-0.750091569501593,0.218217890235992,1,0.596093688132434,0.282298678691874,-0.652747252747253,-0.0373626373626374,-0.554455781057503,1,1,0,0,0.606202433609174,0.202200857301499,0.41698762999245
"Medium",14,0,100,-0.632889761766969,0.654653670707977,0.979166666666667,0.5412196486333,0.278103575760893,-0.520879120879121,-0.116483516483516,-0.462046484214586,1,1,0,0,0.57198327619742,0.229632204433875,0.36929100715978
"Large",14,0,200,-0.712586991026513,0.436435780471985,1,0.548787612378792,0.265995577780843,-0.643956043956044,0.173626373626374,-0.407040950379516,1,1,0,0,0.531228524204349,0.243203186294939,0.340569335852409
