"branch","valid_outer_folds","auc","all_age_rho","old_only_rho","young_minus_old_median","raw_library_rho","effective_library_rho","cell_count_rho","detected_genes_rho","median_signature_size","median_young_high_n","median_old_high_n","median_module_imbalance","median_fold_jaccard","median_fold_jaccard_vs_m0","pooled_gene_jaccard_vs_m0","zero_or_invalid_folds","weak_support_folds"
"M0_factorial_stability_selected_v2_1_exact",14,1,-0.806348437214212,-0.109108945117996,0.260199089123102,-0.692307692307692,-0.472527472527473,-0.556656002410905,0.0417582417582418,54.5,29.5,26,2.5,0.407407407407407,1,1,0,4
"M1_raw_all_gene_denominator",14,1,-0.806348437214212,-0.109108945117996,0.260143098620307,-0.692307692307692,-0.472527472527473,-0.556656002410905,0.0417582417582418,54.5,29.5,26,2.5,0.407407407407407,1,1,0,4
"M2_adjusted_de_historical_scoring",14,1,-0.712586991026513,0.436435780471985,0.26769071261916,-0.652747252747253,-0.507692307692308,-0.589659322711947,0.0373626373626374,52,26.5,26,1.5,0.421686746987952,0.212684475994769,0.239067055393586,0,4
"M3_pi_0_50",14,0.979166666666667,-0.670394340242048,0.436435780471985,0.302916109754515,-0.551648351648352,-0.459340659340659,-0.506050911282641,-0.0945054945054945,77,39.5,37.5,3,0.416666666666667,0.736529680365297,0.754512635379061,0,4
"M3_pi_0_75",14,1,-0.806348437214212,-0.109108945117996,0.260199089123102,-0.692307692307692,-0.472527472527473,-0.556656002410905,0.0417582417582418,54.5,29.5,26,2.5,0.407407407407407,1,1,0,4
"M3_pi_0_90",14,1,-0.843853015689292,-0.327326835353989,0.272850964583761,-0.727472527472527,-0.468131868131868,-0.558856223764308,0.0989010989010989,31,17,14,2.5,0.351851851851852,0.570055904961565,0.688995215311005,0,4
"M4_raw_all_gene_denominator_pi_0_90",14,1,-0.843853015689292,-0.327326835353989,0.272793280256031,-0.727472527472527,-0.468131868131868,-0.558856223764308,0.0989010989010989,31,17,14,2.5,0.351851851851852,0.570055904961565,0.688995215311005,0,4
