external_age_group,external_treatment,youth_score,replicates,cells,ci_low,ci_high
aged,SOKM,0.34434823915586543,3,8181,0.3018267006022257,0.4097693852825593
aged,control,0.4628294367419052,3,2012,0.4540403904220975,0.47430231482400914
young,SOKM,0.3663020708616435,3,6811,0.32975450345997986,0.3992882591924288
young,control,0.49267842467710404,3,1682,0.47640756926499667,0.50518863509015
