epoch,train_loss,validation_loss,learning_rate
1,0.7384343604388168,0.720029812086608,3.75e-05
2,0.7221087702990212,0.7078351881008367,7.5e-05
3,0.7105377634933424,0.7141486282766807,0.0001125
4,0.7147747905170398,0.7058968670009991,0.00015
5,0.6958801483258312,0.695430256291486,0.00018749999999999998
6,0.7081848708837428,0.68687312790082,0.000225
7,0.6879887702825487,0.6768713484640356,0.0002625
8,0.6743981571501384,0.7070974781701883,0.0003
9,0.6371634978333821,0.6622141002164488,0.00029985723323727866
10,0.6476435632407398,0.851478448201801,0.0002994292047137618
11,0.6254247002437324,0.663201845826932,0.00029871672920607153
12,0.6233340422613516,0.8091136613370963,0.0002977211629518312
13,0.6112784257617369,0.6638161527986179,0.00029644440106799
14,0.5975828770784483,0.8774522246286418,0.0002948888739433602
15,0.6005390448906377,0.665274515463198,0.000293057542612234
16,0.5603408339504702,0.7298643680963277,0.0002909538931178862
17,0.5454324447751824,0.6314858620770918,0.000288581929876693
18,0.4760618034407196,0.6497625833781424,0.0002859461680554975
19,0.5078683261568075,0.9131703146714193,0.0002830516249767332
20,0.4288022279523038,0.6721306638468887,0.0002799038105676658
21,0.4230044652259388,0.609944293161097,0.0002765087168719328
22,0.3498418127096916,0.7566437956951979,0.00027287280664334875
23,0.32495356455027286,0.5434757482906197,0.00026900300104368524
24,0.3022929113508551,0.7338162699384752,0.00026490666646784665
25,0.2724724265844719,0.5676642494675941,0.0002605916005215186
26,0.21949657333625855,0.580884070140792,0.00025606601717798207
27,0.19918268675596776,0.6664429639825831,0.00025133853114234905
28,0.207330446065116,0.6660366856574683,0.0002464181414529809
29,0.1797431599718684,0.6521878137778503,0.00024131421435130807
30,0.1640423496229934,0.7179148506524006,0.00023603646545265687
31,0.19178365092391117,0.6144733094535745,0.00023059494125202357
32,0.21177228888927388,0.7826336251391938,0.000225
33,0.14793544629895003,0.589650515184044,0.0002192622919852551
34,0.14184889263313621,0.6211241375025566,0.0002133927392611049
35,0.12745741640994976,0.6914204160694591,0.00020740251485476345
