"signature_version","n_folds","zero_signature_folds","median_signature_size","all_spearman_age","old_only_spearman_age","young_old_auc","young_median","old_median","score_cor_library","score_cor_detected","score_cor_cell_count","median_gene_coverage","median_weighted_gene_coverage","median_ribosomal_fraction","median_cell_cycle_fraction","median_gene_library_burden","median_gene_detected_burden","median_gene_cell_count_burden"
"Small",14,0,40,-0.768843858739132,0.109108945117996,1,0.637652558985333,0.301393822649377,-0.824175824175824,-0.12967032967033,-0.767877252337573,1,1,0,0,0.638390808925831,0.214613082537255,0.448783564628942
"Medium",14,0,100,-0.712586991026513,0.436435780471985,1,0.534859698988155,0.270030304666147,-0.846153846153846,-0.0417582417582418,-0.710671497149101,1,1,0,0,0.591256321454774,0.245805447622202,0.396465561781367
"Large",14,0,200,-0.693834701788973,0.545544725589981,1,0.524736505409958,0.305209443759415,-0.841758241758242,-0.032967032967033,-0.675467955494656,1,1,0.005,0,0.559350300321681,0.263781692291004,0.377229346483417
