"model","auc","all_age_rho","old_only_rho","young_minus_old_median","library_rho","detected_rho","cell_count_rho","median_signature_size","median_jaccard","genes_selected_ge_75pct","zero_signature_folds","role"
"factorial_medium_original",1,-0.712586991026513,0.436435780471985,0.264829394322008,-0.846153846153846,-0.0417582417582418,-0.710671497149101,100,0.449275362318841,57,0,"Primary predefined"
"factorial_large_original",1,-0.693834701788973,0.545544725589981,0.219527061650544,-0.841758241758242,-0.032967032967033,-0.675467955494656,200,0.454545454545455,123,0,"Large comparator"
"factorial_medium_equal_weight",1,-0.675082412551433,0.654653670707977,0.244244296426616,-0.846153846153846,-0.010989010989011,-0.638064192486809,100,0.449275362318841,57,0,"Weight sensitivity"
"factorial_stability_selected",1,-0.768843858739132,0.109108945117996,0.282145695115038,-0.832967032967033,-0.120879120879121,-0.774477916397782,56.5,0.44,32,0,"Stability comparator"
"age_only_de",1,-0.750091569501593,0.218217890235992,0.315037870050437,-0.881318681318681,0.0153846153846154,-0.673267734141253,100,0.470588235294118,52,0,"Biological baseline"
"pc1_baseline",0.833333333333333,-0.412550363225876,0.327326835353989,0.220659676028178,-0.345054945054945,0.38021978021978,0.0924092968429171,NA,NA,NA,0,"Technical-axis baseline"
