"model","training_assay","test_assay","n_mice","auc_young_vs_old","all_age_rho","old_only_rho","young_median","old_median","young_minus_old_median","raw_library_rho","effective_library_rho","detected_genes_rho","cell_count_rho","min_gene_coverage","min_weighted_coverage"
"Droplet_v1__Medium","Droplet_v1","Droplet",12,1,-0.938933265493466,-0.895273785785751,1,-2.39554470010672e-16,1,0.132867132867133,0.0979020979020979,0.181818181818182,0.0629370629370629,1,1
"Droplet_v1__Medium_equal_weight","Droplet_v1","Droplet",12,1,-0.938933265493466,-0.895273785785751,1.00084823710589,-0.0160688183856862,1.01691705549157,0.132867132867133,0.0979020979020979,0.181818181818182,0.0629370629370629,1,1
"FACS_v2__age_only_de","FACS_v2","Droplet",12,1,-0.873426293482294,-0.778498944161523,0.475253177415866,0.334822588690231,0.140430588725635,-0.160839160839161,-0.181818181818182,0.167832167832168,-0.230769230769231,1,1
"FACS_v2__factorial_large_original","FACS_v2","Droplet",12,1,-0.851590636145236,-0.739573996953447,0.488886059590305,0.36128557805565,0.127600481534655,-0.20979020979021,-0.237762237762238,0.13986013986014,-0.27972027972028,1,1
"FACS_v2__factorial_medium_equal_weight","FACS_v2","Droplet",12,1,-0.851590636145236,-0.739573996953447,0.490051026197626,0.34650164054927,0.143549385648356,-0.20979020979021,-0.237762237762238,0.13986013986014,-0.27972027972028,1,1
"FACS_v2__factorial_medium_original","FACS_v2","Droplet",12,1,-0.873426293482294,-0.778498944161523,0.479717228009651,0.329312663917015,0.150404564092637,-0.237762237762238,-0.258741258741259,0.118881118881119,-0.307692307692308,1,1
"FACS_v2__factorial_stability_selected","FACS_v2","Droplet",12,1,-0.829754978808179,-0.700649049745371,0.482077724350384,0.326587985435767,0.155489738914617,-0.0979020979020979,-0.111888111888112,0.27972027972028,-0.167832167832168,1,1
