"model","auc_young_vs_old","all_age_rho","old_only_rho","young_minus_old_median","library_rho","detected_rho","cell_count_rho"
"age_only_de",1,-0.768843858739132,0.109108945117996,1,-0.85054945054945,-0.0593406593406593,-0.748075260156948
"factorial_large_original",1,-0.731339280264053,0.327326835353989,1,-0.815384615384615,-0.0153846153846154,-0.660066406020837
"factorial_medium_equal_weight",1,-0.750091569501593,0.218217890235992,1,-0.797802197802198,0.010989010989011,-0.653465741960628
"factorial_medium_original",1,-0.750091569501593,0.218217890235992,1,-0.810989010989011,-0.032967032967033,-0.688669283615073
"factorial_stability_selected",1,-0.787596147976672,0,1,-0.810989010989011,0.0857142857142857,-0.64686507790042
