"pc","spearman_age_months","spearman_sex_male_numeric","spearman_n_cells","spearman_raw_library_size","spearman_effective_library_size_tmm","spearman_detected_genes"
"PC1",0.346917350894487,0.549125178386915,-0.426842942560141,-0.0901098901098901,-0.397802197802198,-0.982417582417582
"PC2",-0.651642051004509,0.0784464540552736,-0.572057551884725,-0.784615384615385,-0.63956043956044,0.0857142857142857
"PC3",-0.342229278585102,0.196116135138184,-0.257425898348126,-0.217582417582418,-0.0549450549450549,0.243956043956044
