"model","signature_rank","inner_selection_frequency","gene","age_only_logFC","age_only_t","female_logFC","male_logFC","common_logFC","common_t","interaction_logFC","sex_linked_flag","female_direction","male_direction","common_direction","age_only_direction","sex_direction_concordant","age_only_common_concordant","interaction_ratio","interaction_penalty","reliability_pass","module","weight","rank_score","training_mean","training_sd"
"M4_raw_all_gene_denominator_pi_0_90",1,1,"Nrxn2",5.82894369737625,4.36096901630754,6.59995628939988,5.50693564377708,6.05344596658848,4.22366209379138,-1.0930206456228,FALSE,1,1,1,1,TRUE,TRUE,0.090280855018347,0.917194863504388,TRUE,"old_high",23.4505725274464,23.4505725274464,1.28917041926537,1.16398661042051
"M4_raw_all_gene_denominator_pi_0_90",2,0.928571428571429,"Aox3",6.69168265809956,4.18826769774301,5.26502983379523,7.21375217846282,6.23939100612902,3.53193324998332,1.94872234466759,FALSE,1,1,1,1,TRUE,TRUE,0.156162851998736,0.864930055719428,TRUE,"old_high",19.0605609893943,19.0605609893943,2.17846495305153,1.78816305374631
"M4_raw_all_gene_denominator_pi_0_90",3,1,"Rgs20",5.173392256917,3.27456392619509,7.62735823143722,4.07320920256322,5.85028371700022,3.54608561469216,-3.55414902887399,FALSE,1,1,1,1,TRUE,TRUE,0.303758663429211,0.76701311987431,TRUE,"old_high",15.9121526956194,15.9121526956194,0.800718351609617,0.942400500397407
"M4_raw_all_gene_denominator_pi_0_90",4,0.928571428571429,"Acot1",5.72406554693477,3.70943302621918,4.85412386453411,6.08467632901754,5.46940009677583,3.14246568055043,1.23055246448343,FALSE,1,1,1,1,TRUE,TRUE,0.112494270872098,0.898881033532054,TRUE,"old_high",15.4494297609675,15.4494297609675,1.99660423843394,1.56075948799439
"M4_raw_all_gene_denominator_pi_0_90",5,1,"Trim46",4.57253092484464,2.48933946641571,9.41606418677168,2.87006828767535,6.14306623722352,3.83871515584291,-6.54599589909634,FALSE,1,1,1,1,TRUE,TRUE,0.532795440706455,0.652402775636589,TRUE,"old_high",15.3846239634613,15.3846239634613,0.651378784937003,1.16156503525934
"M4_raw_all_gene_denominator_pi_0_90",6,0.928571428571429,"Mutyh",5.08258835901849,3.3652583063458,4.46848233078239,5.40507202895663,4.93677717986951,2.95287459571937,0.936589698174247,FALSE,1,1,1,1,TRUE,TRUE,0.0948584034879006,0.913360117449243,TRUE,"old_high",13.3146750965454,13.3146750965454,1.54308612929782,1.15613514268883
"M4_raw_all_gene_denominator_pi_0_90",7,0.928571428571429,"Nudt7",4.83001366185364,3.14542085337656,4.79442855483156,4.72950252743216,4.76196554113186,2.65271859457012,-0.064926027399403,FALSE,1,1,1,1,TRUE,TRUE,0.0068171451495663,0.993229013647207,TRUE,"old_high",12.5466223916818,12.5466223916818,1.54950811003483,1.38880912480727
"M4_raw_all_gene_denominator_pi_0_90",8,0.928571428571429,"Fam196a",4.74211099354751,3.04428327433423,4.44371865126733,4.9669460788871,4.70533236507721,2.74075975031742,0.523227427619771,FALSE,1,1,1,1,TRUE,TRUE,0.0555994063143911,0.947329066327808,TRUE,"old_high",12.2169314239161,12.2169314239161,1.23862869766986,0.990508567254179
"M4_raw_all_gene_denominator_pi_0_90",9,0.928571428571429,"Foxf2",4.8757260965825,2.77910066741801,4.41566712045321,5.30758027212073,4.86162369628697,2.71554030582405,0.891913151667517,FALSE,1,1,1,1,TRUE,TRUE,0.0917299564566003,0.915977430211473,TRUE,"old_high",12.0926745858159,12.0926745858159,1.02263058837533,1.36961525593297
"M4_raw_all_gene_denominator_pi_0_90",10,0.928571428571429,"Ankrd33b",4.49642789209107,2.89895037186769,4.76548607014913,4.36194667010719,4.56371637012816,2.6734871935314,-0.40353940004194,FALSE,1,1,1,1,TRUE,TRUE,0.0442117041356477,0.957660210127367,TRUE,"old_high",11.6844479161883,11.6844479161883,1.83392714020424,1.3708266347474
"M4_raw_all_gene_denominator_pi_0_90",11,1,"Lcn2",6.45161626281447,2.11852298049346,9.43315235176917,4.66468872953998,7.04892054065457,2.19395880363273,-4.76846362222919,FALSE,1,1,1,1,TRUE,TRUE,0.338240675042828,0.747249742627944,TRUE,"old_high",11.5562481134283,11.5562481134283,3.53311192950833,2.86266838242332
"M4_raw_all_gene_denominator_pi_0_90",12,0.928571428571429,"Ddb2",4.96305273780807,2.17290217401183,8.85126671426507,3.2692495819701,6.06025814811758,2.72381547959415,-5.58201713229496,FALSE,1,1,1,1,TRUE,TRUE,0.46054281313792,0.684676950928633,TRUE,"old_high",11.3019795145303,11.3019795145303,1.6225762666811,2.17778917329765
"M4_raw_all_gene_denominator_pi_0_90",13,0.928571428571429,"Chchd10",6.55339245475022,4.30315931336411,2.32805773281576,8.47672671508369,5.40239222394973,3.16586107548082,6.14866898226793,FALSE,1,1,1,1,TRUE,TRUE,0.569069049257548,0.637320582209674,TRUE,"old_high",10.9002362033561,10.9002362033561,1.47461605573575,1.50795530112118
