model,roc_auc,pr_auc,balanced_accuracy,f1,brier,roc_auc_ci_low,roc_auc_ci_high,age_spearman,donors
gene_signature,1.0,1.0,1.0,1.0,0.04673057667282081,1.0,1.0,-0.8626053049268316,14
elastic_net,0.9791666666666667,0.976190476190476,0.8541666666666667,0.8333333333333334,0.05836567856397619,0.8958333333333334,1.0,-0.8815264538792292,14
gene_transformer,0.875,0.9166666666666666,0.9166666666666667,0.9090909090909091,0.13585951981522845,0.5833333333333333,1.0,-0.6094494002200441,14
technical_only,0.6875,0.6194444444444445,0.7916666666666667,0.7692307692307693,0.24266386352524255,0.37447916666666664,1.0,-0.4734953032478804,14
