"mouse","age","sex","version","fold_type","predicted_raw_score","predicted_young_module_raw","predicted_old_module_raw","predicted_calibrated_score","signature_size","selected_young_high","selected_old_high","design_full_rank","score_ok","score_failure_reason","heldout_gene_coverage","heldout_young_module_coverage","heldout_old_module_coverage","heldout_weighted_coverage","calibration_denominator","young_reference_center","old_reference_center","fold_candidate_genes_total","fold_candidate_young_high","fold_candidate_old_high","low_depth_triggered","low_depth_removed","low_depth_valid","sex_sensitive_filtering","heldout_tmm_norm_factor","heldout_effective_library_size","heldout_cell_count"
"21-F-55",21,"female","Small","held_out_old",0.077452150994752,-0.291668789863287,-0.369120940858039,0.208000511425977,40,20,20,TRUE,TRUE,"ok",1,1,1,1,2.8353433656673,2.323042646535,-0.512300719132298,1521,760,761,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.982717990147012,7163305.60850082,1077
"21-F-55",21,"female","Medium","held_out_old",-0.15939129063441,-0.317674641259336,-0.158283350624926,0.186612487714755,100,50,50,TRUE,TRUE,"ok",1,1,1,1,3.17295545363922,2.4214510523931,-0.751504401246123,1521,760,761,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.982717990147012,7163305.60850082,1077
"21-F-55",21,"female","Large","held_out_old",-0.169811576428763,-0.259987370307216,-0.0901757938784532,0.172451697072663,200,100,100,TRUE,TRUE,"ok",1,1,1,1,3.05982912054193,2.36234481952336,-0.697484301018573,1521,760,761,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.982717990147012,7163305.60850082,1077
"24-M-58",24,"male","Small","held_out_old",-0.334349480242214,-0.556757530113396,-0.222408049871182,0.0857116300110063,40,20,20,TRUE,TRUE,"ok",1,1,1,1,2.98297113841872,2.39294633962685,-0.59002479879187,1577,744,833,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.96228420979118,5689198.42172743,921
"24-M-58",24,"male","Medium","held_out_old",-0.6044281611377,-0.598757591992116,0.00567056914558456,0.030660995503812,100,50,50,TRUE,TRUE,"ok",1,1,1,1,3.04978174968775,2.35184424403527,-0.697937505652484,1577,744,833,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.96228420979118,5689198.42172743,921
"24-M-58",24,"male","Large","held_out_old",-0.558651695436237,-0.493993576028556,0.0646581194076816,0.0753588728258707,200,100,100,TRUE,TRUE,"ok",1,1,1,1,3.06907999109199,2.27914588691463,-0.789934104177363,1577,744,833,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.96228420979118,5689198.42172743,921
"24-M-59",24,"male","Small","held_out_old",-0.155399284925309,-0.301907005831928,-0.146507720906619,0.137685220908129,40,20,20,TRUE,TRUE,"ok",1,1,1,1,2.96284303360351,2.39950405108039,-0.56333898252312,1583,757,826,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.994090162650356,6844970.8457157,950
"24-M-59",24,"male","Medium","held_out_old",-0.483800100379425,-0.421719740189082,0.0620803601903421,0.0919911177403295,100,50,50,TRUE,TRUE,"ok",1,1,1,1,3.10123090103125,2.33214510369511,-0.769085797336139,1583,757,826,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.994090162650356,6844970.8457157,950
"24-M-59",24,"male","Large","held_out_old",-0.57519365339882,-0.440061411985125,0.135132241413695,0.0835146091421358,200,100,100,TRUE,TRUE,"ok",1,1,1,1,3.09856144038196,2.26459263938675,-0.833968800995213,1583,757,826,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.994090162650356,6844970.8457157,950
"24-M-60",24,"male","Small","held_out_old",-0.962758398386072,-0.649431907408278,0.313326490977794,-0.0181966758171604,40,20,20,TRUE,TRUE,"ok",1,1,1,1,3.4282435725413,2.52786781106702,-0.900375761474274,1565,760,805,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.965297825394147,3852035.45170272,746
"24-M-60",24,"male","Medium","held_out_old",-0.842400048236277,-0.563877460919465,0.278522587316813,0.0150517257889713,100,50,50,TRUE,TRUE,"ok",1,1,1,1,3.3103172824449,2.41809124619877,-0.892226036246131,1565,760,805,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.965297825394147,3852035.45170272,746
"24-M-60",24,"male","Large","held_out_old",-0.861385784640962,-0.479801518084626,0.381584266556336,0.020774757582967,200,100,100,TRUE,TRUE,"ok",1,1,1,1,3.26238739245314,2.33322630059223,-0.929161091860903,1565,760,805,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.965297825394147,3852035.45170272,746
"24-M-61",24,"male","Small","held_out_old",-0.570455226419214,-0.233698665750632,0.336756560668582,0.0826679975476416,40,20,20,TRUE,TRUE,"ok",1,1,1,1,3.36963474854943,2.52061856500068,-0.849016183548746,1548,756,792,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.985102232063815,3448847.83996658,600
"24-M-61",24,"male","Medium","held_out_old",-0.660531390844523,-0.335478893178261,0.325052497666262,0.0698512891014085,100,50,50,TRUE,TRUE,"ok",1,1,1,1,3.35466163185533,2.45980280152667,-0.894858830328652,1548,756,792,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.985102232063815,3448847.83996658,600
"24-M-61",24,"male","Large","held_out_old",-0.731810671336252,-0.295977894935759,0.435832776400493,0.0554194009858098,200,100,100,TRUE,TRUE,"ok",1,1,1,1,3.22659677269236,2.31597004099075,-0.91062673170161,1548,756,792,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.985102232063815,3448847.83996658,600
"3-F-56",3,"female","Small","held_out_young_stress_test",0.717674636611323,0.980014462013055,0.262339825401731,0.347948689787159,40,20,20,TRUE,TRUE,"ok",1,1,1,1,3.90965155163987,3.26696805333377,-0.642683498306102,1901,848,1053,TRUE,"18-F-50;18-F-51",TRUE,TRUE,1.02725365508965,5466560.11591557,715
"3-F-56",3,"female","Medium","held_out_young_stress_test",0.824696075154389,0.865413337252777,0.0407172620983885,0.396049771318204,100,50,50,TRUE,TRUE,"ok",1,1,1,1,3.84449517033122,3.14657981244199,-0.697915357889227,1901,848,1053,TRUE,"18-F-50;18-F-51",TRUE,TRUE,1.02725365508965,5466560.11591557,715
"3-F-56",3,"female","Large","held_out_young_stress_test",0.944228226068332,0.794766554248715,-0.149461671819617,0.440427726488908,200,100,100,TRUE,TRUE,"ok",1,1,1,1,3.67709970835054,3.00183126979702,-0.675268438553519,1901,848,1053,TRUE,"18-F-50;18-F-51",TRUE,TRUE,1.02725365508965,5466560.11591557,715
"3-F-57",3,"female","Small","held_out_young_stress_test",1.00801813164463,0.735330868535027,-0.272687263109606,0.437203964527633,40,20,20,TRUE,TRUE,"ok",1,1,1,1,4.02349044648503,3.27242260368735,-0.751067842797677,1735,818,917,TRUE,"18-F-50;18-F-51",TRUE,TRUE,1.04259284837287,5574889.92324853,753
"3-F-57",3,"female","Medium","held_out_young_stress_test",1.24229923939616,0.712416012863044,-0.529883226533114,0.492557122565783,100,50,50,TRUE,TRUE,"ok",1,1,1,1,3.82409720505969,3.1828101287198,-0.641287076339897,1735,818,917,TRUE,"18-F-50;18-F-51",TRUE,TRUE,1.04259284837287,5574889.92324853,753
"3-F-57",3,"female","Large","held_out_young_stress_test",1.23773589076021,0.724489635279765,-0.513246255480449,0.505916566424951,200,100,100,TRUE,TRUE,"ok",1,1,1,1,3.59491373508869,3.01392321239894,-0.580990522689752,1735,818,917,TRUE,"18-F-50;18-F-51",TRUE,TRUE,1.04259284837287,5574889.92324853,753
