"version","variable","spearman_all","spearman_old_only"
"Small","effective_library_size",-0.034965034965035,0.0303030303030303
"Small","raw_library_size",-0.00699300699300699,0.0787878787878788
"Small","cell_count",-0.0769230769230769,0.0787878787878788
"Small","detected_genes",0.251748251748252,-0.0303030303030303
"Medium","effective_library_size",-0.020979020979021,0.0303030303030303
"Medium","raw_library_size",0.027972027972028,0.103030303030303
"Medium","cell_count",-0.034965034965035,0.103030303030303
"Medium","detected_genes",0.0769230769230769,-0.2
"Large","effective_library_size",-0.027972027972028,0.0424242424242424
"Large","raw_library_size",0.013986013986014,0.115151515151515
"Large","cell_count",-0.055944055944056,0.115151515151515
"Large","detected_genes",0.132867132867133,-0.175757575757576
