"scenario","mode","n_replicates","auc_median","auc_q025","auc_q975","all_age_rho_median","all_age_rho_q025","all_age_rho_q975","old_only_rho_median","old_only_rho_q025","old_only_rho_q975","young_minus_old_median_median","young_minus_old_median_q025","young_minus_old_median_q975","library_rho_median","library_rho_q025","library_rho_q975","detected_rho_median","detected_rho_q025","detected_rho_q975","cell_count_rho_median","cell_count_rho_q025","cell_count_rho_q975","zero_signature_folds_median","zero_signature_folds_q025","zero_signature_folds_q975","prop_auc_ge_0_8","prop_all_age_rho_negative","prop_old_only_rho_negative"
"all_mice_14_cells","frozen_full_data_medium_rescore",20,1,1,1,-0.787596147976672,-0.901985112325665,-0.730401665802176,0,-0.665564565219777,0.332782282609888,1.10074444952509,0.911213566033877,1.27764966144816,-0.52967032967033,-0.767692307692308,-0.0602197802197804,0.595604395604396,0.529450549450549,0.76956043956044,NA,NA,NA,0,0,0,1,1,0.45
"all_mice_14_cells","full_retraining_nested_lomo",20,0.947916666666667,0.791666666666667,1,-0.743059461037515,-0.88006837427929,-0.420051278920892,-0.163663417676994,-0.602826921776929,0.602826921776929,0.154864215311651,0.0806016229185838,0.282193322571509,-0.437362637362637,-0.631208791208791,-0.125274725274725,0.632967032967033,0.256483516483516,0.835604395604395,NA,NA,NA,0,0,0,0.9,1,0.6
"min25_mice_28_cells","frozen_full_data_medium_rescore",20,1,1,1,-0.798271734585262,-0.946099833582532,-0.586877553019165,-0.327326835353989,-0.87287156094397,0.452802122239683,0.993402453957765,0.842661460026856,1.11994031049166,-0.576923076923077,-0.785314685314685,-0.233391608391608,0.611888111888112,0.332692307692308,0.766958041958042,NA,NA,NA,0,0,0,1,1,0.75
"min25_mice_28_cells","full_retraining_nested_lomo",20,0.75,0.48203125,0.98515625,-0.340004627693723,-0.784228065180521,0.138219272562448,-0.109108945117996,-0.436435780471985,0.717391314150825,0.113599459504349,-0.0129111099675387,0.246010477074805,-0.34965034965035,-0.601748251748252,0.172202797202797,0.541958041958042,-0.0295454545454545,0.642572382010513,NA,NA,NA,0,0,0,0.4,0.9,0.65
