epoch,train_loss,validation_loss,learning_rate
1,0.7795584221802249,0.7958831245499104,3.75e-05
2,0.7412683799701865,0.7499284566680255,7.5e-05
3,0.7096549293416092,0.7377759425033399,0.0001125
4,0.6901981246294586,0.7560746936779965,0.00015
5,0.6787812182842481,0.800241247129821,0.00018749999999999998
6,0.6712907737797087,0.829502023706777,0.000225
7,0.6340129265606027,0.9459185224696596,0.0002625
8,0.5893619990545468,1.3387377381049819,0.0003
9,0.5888615865566648,1.6889768147608835,0.00029985723323727866
10,0.5595145118944672,1.7773601359679714,0.0002994292047137618
11,0.5373347437228517,1.5728243876020362,0.00029871672920607153
12,0.5266060375305635,1.6459730165920528,0.0002977211629518312
13,0.5300795844714139,1.668643055928019,0.00029644440106799
14,0.5109628481033816,1.8070043898607804,0.0002948888739433602
15,0.4874638893180423,1.9139960475522662,0.000293057542612234
