model,roc_auc,pr_auc,balanced_accuracy,f1,brier,roc_auc_ci_low,roc_auc_ci_high,age_spearman,donors
elastic_net,0.9464285714285714,0.9571428571428571,0.8035714285714286,0.8,0.08826932768559556,0.8214285714285714,1.0,-0.8355502291066016,15
gene_transformer,0.8571428571428571,0.8676870748299319,0.6160714285714286,0.6666666666666666,0.19366313119986303,0.625,1.0,-0.6684401832852813,15
gene_signature,0.7857142857142857,0.7932496075353217,0.8035714285714286,0.8,0.19949041684878013,0.5178571428571428,1.0,-0.6453905217926854,15
technical_only,0.6964285714285714,0.7384877027734171,0.6696428571428572,0.6666666666666666,0.2399132572147157,0.39285714285714285,0.9464285714285714,-0.4168147119911093,15
