epoch,train_loss,validation_loss,learning_rate
1,0.7497103929047811,0.7151130985560245,3.75e-05
2,0.7186271168941694,0.7125225588255895,7.5e-05
3,0.717415520585931,0.7192389968952346,0.0001125
4,0.7176828487485045,0.7080329909949437,0.00015
5,0.7057405879381582,0.7028468969096793,0.00018749999999999998
6,0.6843220161144192,0.6962822064471454,0.000225
7,0.7007980629365734,0.6928903464376684,0.0002625
8,0.6844052302946151,0.6895537356011903,0.0003
9,0.6637635569414655,0.6938125246157376,0.00029985723323727866
10,0.6467687915475097,0.7143654991098891,0.0002994292047137618
11,0.6373140944554471,0.7292605888770238,0.00029871672920607153
12,0.6308173503713085,0.6533729846403524,0.0002977211629518312
13,0.6302752595225956,0.8906382549377141,0.00029644440106799
14,0.6015331726913504,0.6271158220445132,0.0002948888739433602
15,0.5532969765159788,0.6043734024213526,0.000293057542612234
16,0.5047104556840611,0.7262696956665591,0.0002909538931178862
17,0.46958098802158116,0.7792222780874867,0.000288581929876693
18,0.42967130227236744,0.5943782627085117,0.0002859461680554975
19,0.35578049744840745,0.6051296837907572,0.0002830516249767332
20,0.31539653363854747,0.7519136653930164,0.0002799038105676658
21,0.37301128364317504,1.1021958263695215,0.0002765087168719328
22,0.2578252849368559,1.2593683161340716,0.00027287280664334875
23,0.3032639786700352,0.7644511031291249,0.00026900300104368524
24,0.3823439956242361,1.6702373298917157,0.00026490666646784665
25,0.2864351005685364,1.137139198040896,0.0002605916005215186
26,0.24427230405967273,0.9826113274291044,0.00025606601717798207
27,0.21307063674978877,0.5809053783477413,0.00025133853114234905
28,0.1891517906387921,0.6946750055794326,0.0002464181414529809
29,0.18234817743273385,1.0418252086548427,0.00024131421435130807
30,0.16867584315545972,1.4514589641358269,0.00023603646545265687
31,0.22741999130488832,0.5177946895117018,0.00023059494125202357
32,0.2523961086067768,1.0404930841439815,0.000225
33,0.1822111608438167,0.7207703440671105,0.0002192622919852551
34,0.1555707247862138,0.8020198033504378,0.0002133927392611049
35,0.11820955180898708,0.7726472121253274,0.00020740251485476345
36,0.13171633592786272,0.6351510611775945,0.00020130302149885031
37,0.09150890723131899,0.6413893058379903,0.00019510586992564093
38,0.11945933791097597,0.9107748354918306,0.0001888228567653781
39,0.10677078452266334,1.1404706564358846,0.0001824659420907154
40,0.13143359189595835,0.9740992051182258,0.00017604722665003956
41,0.0996668838913551,0.6643549462388338,0.00016957892883300775
42,0.10094560631557001,0.9238805693625722,0.00016307336141214873
43,0.10121741219473564,0.9320832209353813,0.00015654290810480042
