external_age_group,external_treatment,youth_score,replicates,cells,ci_low,ci_high
aged,SOKM,0.34395259942098205,3,8181,0.2957849218722431,0.4171089868442767
aged,control,0.4925130296726428,3,2012,0.4840216070384607,0.5044569086139515
young,SOKM,0.3657927168580617,3,6811,0.3273351552054053,0.4012582979479998
young,control,0.5284460588420032,3,1682,0.5116176137751464,0.539326902802878
