"gene","18-F-50","18-F-51","18-M-52","18-M-53","21-F-54","21-F-55","24-M-58","24-M-59","24-M-60","24-M-61","3-F-56","3-F-57"
"Ccdc122",18,6,83,63,35,34,64,65,44,27,35,28
"Enox1",7,8,27,42,20,39,26,32,7,13,32,22
"Dnajc15",27,16,264,238,131,135,117,111,82,56,126,122
"Epsti1",1,0,2,6,0,1,1,2,4,0,6,0
"Tnfsf11",0,0,8,5,2,1,10,6,5,1,1,10
"Akap11",46,34,135,103,114,135,110,156,88,86,117,126
"Dgkh",5,6,10,3,7,16,5,11,10,14,17,13
"1300010F03Rik",14,11,48,52,42,42,39,30,24,27,37,27
"1190002H23Rik",675,441,3401,1863,1627,1827,1872,1586,1218,1006,1306,1250
"Naa16",9,17,41,44,58,52,40,69,29,32,52,36
"Mtrf1",4,6,15,13,7,10,5,9,6,3,11,7
"Kbtbd7",2,5,23,18,13,13,9,20,10,7,17,12
"Wbp4",77,56,260,199,267,323,302,311,175,141,221,249
"Elf1",225,151,626,392,876,1169,932,1017,640,532,664,644
"Sugt1",65,43,339,333,367,331,303,339,205,150,269,269
"Lect1",2,1,5,9,13,30,7,60,13,14,26,7
"Pcdh17",6,3,8,8,23,22,17,33,14,12,10,12
"Tdrd3",26,23,98,112,89,99,84,92,48,51,79,97
"Pcdh20",4,2,11,20,12,14,38,34,12,7,19,26
"Gm5088",2,3,1,2,3,2,0,2,3,0,1,4
"Pcdh9",9,8,11,9,42,48,37,33,17,16,41,33
"Dach1",3,0,2,3,7,11,2,7,7,3,2,7
"Mzt1",80,44,189,159,170,191,150,163,123,100,157,152
"Dis3",10,11,57,46,43,36,25,44,16,18,27,28
"Pibf1",10,8,29,26,32,57,39,53,37,18,47,28
"Klf5",55,37,62,40,116,178,107,126,68,69,101,97
"Klf12",5,3,6,6,27,42,22,29,15,12,14,17
"Tbc1d4",2,4,16,14,6,8,14,17,13,6,5,12
"Commd6",54,56,325,296,230,258,230,244,119,99,235,215
"Uchl3",45,34,252,211,213,219,152,203,112,88,156,162
"Lmo7",20,8,9,9,17,28,23,19,16,19,23,14
"Kctd12",70,62,332,335,286,293,236,324,171,189,232,251
"Cln5",60,48,284,254,204,292,185,261,135,132,182,230
"Fbxl3",69,60,289,266,230,271,171,222,143,126,200,182
"Mycbp2",155,132,493,314,663,702,554,678,357,363,469,492
"Scel",1,1,2,2,5,9,2,4,0,4,3,1
"Ednrb",6,1,23,9,10,15,12,9,9,5,9,4
"Rnf219",3,2,19,12,27,15,18,27,7,8,9,16
"Gm17066",24,13,73,49,61,53,39,53,30,30,45,38
"Rbm26",71,55,176,144,246,239,204,234,147,131,205,208
"Ndfip2",134,108,428,354,471,512,367,483,237,265,397,354
"Spry2",352,353,854,712,909,1236,972,931,573,539,709,675
"1700128A07Rik",0,0,1,6,4,3,6,2,3,6,8,5
"Slitrk1",0,0,1,5,2,0,1,1,0,1,6,6
"Mir17hg",16,16,65,44,49,53,67,80,36,27,28,38
"Gpc6",110,63,141,156,311,281,201,228,103,97,194,231
"Tgds",12,11,62,59,73,60,45,59,36,27,32,49
"Gpr180",44,44,293,264,187,207,143,226,107,101,177,194
"Abcc4",9,4,30,31,12,27,18,21,16,11,13,12
"Cldn10",12,12,66,68,49,51,141,129,61,35,29,29
"Dzip1",29,14,89,81,85,117,81,95,54,43,61,51
"Dnajc3",333,281,1346,1210,1239,1390,1255,1506,702,658,1107,1142
"Uggt2",3,6,36,25,18,24,29,40,12,8,12,26
"Mbnl2",317,231,905,740,1071,1133,984,1102,634,533,942,1021
"Rap2a",41,26,162,125,166,177,104,131,85,76,115,133
"Ipo5",54,66,387,236,252,304,219,230,140,119,202,188
"Farp1",27,15,113,98,73,95,61,88,51,34,70,72
"Stk24",58,47,267,253,245,265,225,279,159,124,225,225
"Dock9",43,28,69,77,88,121,83,102,67,54,89,78
"Ubac2",38,39,243,221,184,198,169,191,111,110,169,185
"Gpr183",0,0,0,1,2,5,1,3,5,1,9,2
"Tm9sf2",170,103,664,618,452,433,421,543,264,187,410,444
"Clybl",16,15,70,62,58,69,78,71,26,50,52,66
"Pcca",21,15,63,67,66,72,78,82,48,39,48,60
"A2ld1",5,3,18,17,16,14,16,12,12,3,10,1
"Tmtc4",5,5,27,16,19,18,22,31,15,15,29,20
"Nalcn",9,11,36,37,11,33,22,31,18,19,11,10
"Itgbl1",381,257,1477,1208,962,1140,906,1016,588,625,1224,1171
"1700024B18Rik",3,4,12,1,7,11,2,3,6,4,4,5
"Sepp1",1203,888,6755,4854,3744,4669,5508,5665,3909,2897,3942,3580
"Ghr",67,72,324,226,254,288,245,255,161,173,222,199
"Fbxo4",49,39,273,232,162,216,193,217,117,123,197,165
"AW549877",28,15,101,97,101,93,79,94,71,54,86,79
"Oxct1",186,143,390,481,585,673,445,635,371,307,399,547
"Plcxd3",3,2,22,8,13,14,44,51,57,16,1,12
"C7",1,0,28,32,9,9,178,173,122,41,4,2
"Card6",0,0,5,7,2,3,1,3,5,3,2,1
"Rpl37",4951,3616,28123,21076,20394,22267,14580,18393,11601,9850,16027,14993
"Prkaa1",23,18,61,60,60,86,60,59,51,45,45,54
"Ttc33",25,12,83,82,63,78,47,65,44,29,57,64
"Ptger4",27,29,126,123,108,135,163,177,78,68,96,107
"Dab2",100,96,508,308,332,439,338,417,264,232,363,264
"Fyb",2,0,0,6,11,6,11,10,8,11,6,3
"Rictor",38,20,86,97,108,84,61,93,64,45,73,47
"Osmr",235,167,1540,846,941,1078,757,796,701,583,711,633
"Lifr",113,61,889,433,245,407,286,378,268,187,228,213
"Egflam",15,6,38,31,41,31,15,29,12,20,31,35
"Gdnf",9,2,24,7,10,21,4,0,3,1,3,4
"Wdr70",28,15,52,54,86,103,77,106,65,57,63,76
"Nup155",5,7,31,27,18,20,11,29,8,12,12,19
"2410089E03Rik",14,18,52,57,63,63,46,64,31,28,54,44
"Nipbl",80,70,133,75,305,383,320,418,211,207,283,295
"Slc1a3",16,21,58,31,85,71,70,74,37,35,62,78
"1110020G09Rik",15,7,59,50,48,55,45,55,46,30,45,37
"Skp2",1,1,5,3,7,0,6,2,1,2,7,1
"Lmbrd2",2,1,2,4,18,14,7,12,10,6,5,15
"Il7r",0,0,0,0,2,2,2,10,2,1,8,1
"Prlr",7,11,1,1,11,21,4,7,1,4,11,18
"Dnajc21",45,41,161,106,144,169,134,167,113,92,109,191
"Brix1",87,52,419,284,304,365,396,405,208,134,233,247
"Rad1",9,5,38,52,25,36,33,42,19,16,24,33
"Rai14",28,21,102,89,72,80,78,131,67,59,80,71
"4930556M19Rik",0,1,3,6,4,1,8,10,2,4,4,2
"C1qtnf3",67,73,32,122,181,153,78,75,24,61,171,217
"Amacr",8,7,29,30,31,26,20,33,18,13,23,23
"Adamts12",5,1,6,12,11,12,6,15,4,6,18,17
"Tars",45,33,190,190,186,186,139,171,78,95,145,148
"Npr3",0,1,6,3,12,10,15,9,12,1,11,9
"Sub1",707,587,3045,2033,2230,2507,2419,2696,1394,1389,1938,1848
"Zfr",91,68,210,170,309,301,295,383,167,155,255,303
"Mtmr12",21,16,110,78,66,68,80,100,54,49,48,52
"Golph3",166,131,725,592,518,591,493,517,383,326,499,459
"Pdzd2",32,35,124,99,121,145,93,123,66,73,117,99
"6030458C11Rik",6,4,39,20,26,22,22,28,12,9,31,29
"Drosha",16,14,91,81,57,63,46,63,42,33,90,66
"Cdh9",4,4,15,8,15,17,13,21,10,3,6,8
"Acot10",6,7,10,9,23,37,12,18,7,3,30,32
"Gm5803",2,1,1,4,4,4,1,3,0,3,3,6
"Basp1",127,122,644,559,356,350,443,751,187,220,398,539
"Myo10",32,15,73,58,68,103,72,69,44,40,62,55
"Fam134b",37,30,107,75,104,79,72,88,51,49,113,121
"Zfp622",84,63,366,292,321,405,391,410,216,188,271,277
"Fbxl7",13,8,22,28,29,28,12,26,10,13,23,20
"Ank",72,39,325,218,176,194,114,158,93,121,212,221
"Fam105b",28,25,136,98,78,107,73,100,45,40,44,68
"Fam105a",7,1,34,14,0,14,6,19,4,7,10,4
"Trio",43,42,145,184,193,227,132,208,92,93,156,116
"Dap",261,201,1326,1533,903,962,672,894,463,428,926,994
"Ankrd33b",28,20,40,29,81,107,68,130,60,69,64,39
"Ropn1l",4,2,4,4,6,7,1,10,2,1,7,12
"March6",51,23,147,119,125,123,89,114,71,59,104,132
"Cmbl",15,3,18,25,42,44,35,27,15,19,33,37
"Cct5",231,184,1127,935,958,1177,931,1062,498,401,731,766
"Fam173b",22,19,129,99,77,59,42,66,42,43,65,74
"0610007N19Rik",210,163,1089,1048,718,693,546,616,378,335,705,750
"Sema5a",18,12,128,95,62,64,78,94,55,42,99,82
"Sdc2",575,361,2168,1900,1961,2202,2066,2242,978,900,1659,1622
"Pgcp",481,311,1936,1855,1856,2062,2395,2810,883,886,1175,1422
"Tspyl5",1,2,8,10,3,4,2,4,7,6,9,8
"Mtdh",238,199,989,602,1116,1132,910,1104,615,527,832,867
"Laptm4b",64,40,142,171,146,188,121,180,91,86,161,141
"Matn2",92,66,172,256,219,257,263,267,123,116,253,277
"Gm12191",14,14,72,63,44,61,25,34,28,16,35,30
"Rpl30",58,56,110,114,145,181,63,88,139,104,170,138
"Hrsp12",15,8,37,39,39,48,43,43,25,17,35,51
"Pop1",3,4,16,9,10,15,9,20,8,5,6,7
"Nipal2",13,11,44,23,53,49,58,62,32,18,20,33
"Stk3",23,21,142,131,114,150,119,159,74,76,103,129
"Osr2",114,84,331,233,337,516,307,322,215,186,294,349
"Vps13b",15,12,55,53,56,63,37,42,31,31,42,41
"Cox6c",1021,718,5729,4711,3728,4159,3136,3548,2097,1739,2933,3137
"Polr2k",105,109,648,520,415,492,379,425,252,205,333,399
"Rnf19a",85,48,276,234,269,348,252,253,124,156,249,259
"Ankrd46",50,34,114,135,161,139,101,102,59,52,97,114
"Pabpc1",1071,870,3631,2191,3027,3421,2610,2934,1637,1432,2169,2199
"Ywhaz",351,261,1727,1343,1286,1364,961,1146,736,635,955,889
"Zfp706",210,193,1078,827,662,747,650,770,408,381,635,686
"Ncald",17,18,75,85,81,80,91,115,56,30,88,96
"Rrm2b",11,7,44,34,44,41,65,72,29,26,35,40
"Ubr5",79,66,326,258,257,267,193,287,127,134,208,236
"Klf10",165,177,287,276,305,403,270,305,218,155,333,337
"Azin1",308,257,1101,706,829,1142,893,961,720,640,787,768
"Atp6v1c1",56,50,183,162,144,155,162,178,89,82,117,112
"Baalc",0,1,27,9,0,5,6,1,3,4,9,6
"Fzd6",8,1,12,7,12,6,8,7,7,5,15,9
"Cthrc1",34,56,333,355,56,98,54,81,38,40,155,203
"Slc25a32",12,16,65,48,34,46,34,46,35,22,40,49
"Dcaf13",29,18,155,116,128,128,146,130,68,47,86,87
"Lrp12",15,10,47,31,56,65,49,46,21,28,45,51
