"gene","18-F-50","18-F-51","18-M-52","18-M-53","21-F-54","21-F-55","24-M-58","24-M-59","24-M-60","24-M-61","3-F-56","3-F-57"
"Sox17",29,7,78,69,74,90,57,54,36,67,34,63
"Mrpl15",28,28,280,208,124,158,141,170,103,82,119,126
"Lypla1",58,50,196,208,160,185,159,184,105,97,169,165
"Tcea1",126,77,498,416,525,566,488,506,307,250,397,443
"Rgs20",3,3,16,16,2,12,8,5,6,4,6,10
"Atp6v1h",52,38,224,152,185,217,186,211,89,83,113,135
"Rb1cc1",58,50,163,104,220,214,163,249,124,137,171,198
"Pcmtd1",65,49,159,173,258,289,255,288,161,156,259,224
"Rrs1",146,121,721,307,462,585,435,445,294,214,330,284
"Adhfe1",3,2,7,8,8,22,22,21,20,10,12,14
"2610203C22Rik",1,0,3,12,8,6,14,3,8,7,8,4
"Mybl1",2,0,2,2,3,6,3,4,2,5,2,0
"Vcpip1",19,12,50,37,55,66,53,61,35,24,41,35
"Sgk3",6,4,25,26,31,34,27,35,19,15,22,23
"Snhg6",109,63,847,555,440,484,338,452,239,211,356,381
"Cops5",46,33,304,232,203,248,202,206,102,101,190,216
"Cspp1",15,7,22,21,49,65,39,58,29,22,42,35
"Arfgef1",43,29,125,103,108,129,116,121,65,62,84,105
"Prex2",20,14,104,55,89,120,86,87,70,41,72,94
"Sulf1",113,109,460,388,400,379,289,375,185,185,423,394
"Ncoa2",22,12,52,64,63,63,58,73,58,43,52,76
"Tram1",287,232,1262,1178,901,956,863,891,453,406,883,800
"Lactb2",5,3,31,36,28,49,33,44,25,14,28,19
"Gm5523",1,1,6,1,9,13,7,11,3,2,14,8
"Eya1",1,1,4,4,2,2,2,2,9,4,7,9
"Msc",8,5,81,143,31,26,57,41,30,20,25,28
"Terf1",20,13,67,65,61,102,90,89,43,48,57,46
"Gm106",16,16,35,42,55,34,37,50,18,31,49,31
"Rpl7",2006,1567,21019,16768,12932,14319,9723,12230,7753,6652,9704,9747
"Rdh10",57,36,658,298,326,349,230,251,163,157,118,129
"Stau2",6,13,15,15,30,23,21,28,14,19,19,26
"Ube2w",101,66,298,263,230,271,251,315,148,146,243,236
"Tceb1",323,210,1463,1096,1358,1664,1259,1362,871,643,1073,1006
"Tmem70",47,34,163,155,148,179,164,201,103,90,133,144
"Ly96",30,25,139,118,104,119,109,103,52,49,89,76
"Jph1",2,5,10,4,8,10,19,16,7,6,10,9
"Pi15",39,24,51,46,87,83,67,62,27,29,68,75
"Crispld1",64,74,155,146,218,182,150,173,74,109,259,291
"Mcm3",6,5,32,33,22,18,22,24,16,9,7,18
"Paqr8",3,5,13,14,10,11,13,18,16,4,12,10
"Efhc1",1,1,18,24,21,25,20,22,6,5,18,20
"Tram2",2,0,14,9,2,6,4,7,5,3,9,8
"Tmem14a",29,27,93,76,91,89,71,64,55,30,89,82
"Gsta3",6,2,112,58,16,32,110,66,55,30,11,14
"Kcnq5",0,2,1,1,7,6,1,3,0,0,3,2
"Ogfrl1",45,21,239,188,94,134,160,164,97,83,82,113
"Smap1",118,74,430,343,411,409,345,428,176,180,389,421
"1110058L19Rik",33,16,137,155,111,129,119,129,62,45,110,122
"Fam135a",11,12,49,44,42,30,41,45,25,29,25,31
"Lmbrd1",107,75,398,335,385,452,431,508,214,221,322,282
"Phf3",33,26,94,101,156,182,136,146,76,68,116,120
"Ptp4a1",162,136,634,385,435,507,394,464,261,259,423,292
"Prim2",10,6,34,40,26,37,28,33,16,15,23,26
"Rab23",37,33,146,164,165,163,158,185,102,83,131,124
"Bag2",8,11,52,52,45,60,57,58,30,31,31,41
"Zfp451",14,7,41,32,44,44,38,44,27,22,43,44
"Bend6",7,9,29,20,22,30,23,33,16,12,18,18
"Dst",170,89,452,364,457,457,299,410,237,233,359,353
"Ccdc115",32,11,139,109,102,121,62,83,53,46,67,93
"Imp4",27,22,194,117,114,95,95,118,66,58,71,73
"Ptpn18",1,1,18,20,14,14,9,18,20,14,10,14
"Arhgef4",0,3,7,0,0,2,1,2,4,1,2,5
"Fam168b",55,61,299,255,209,216,139,199,121,121,162,161
"Plekhb2",22,19,47,55,83,83,61,96,57,40,52,44
"Hs6st1",13,17,101,71,67,82,41,74,21,42,43,65
"Uggt1",34,17,205,169,105,114,68,126,67,37,101,107
"Neurl3",3,8,8,6,29,40,17,28,17,19,27,13
"Arid5a",287,184,925,664,674,1012,866,1041,580,521,736,651
"4632411B12Rik",27,25,131,101,108,129,79,93,73,71,101,73
"Lman2l",15,15,60,51,33,30,28,51,23,21,36,37
"Cnnm4",45,20,79,57,105,127,111,97,88,66,76,86
"Cnnm3",9,10,37,50,20,34,26,33,26,19,28,20
"Ankrd23",3,2,0,0,5,8,2,2,3,4,4,2
"Ankrd39",14,9,55,50,47,36,44,43,34,24,33,35
"Sema4c",73,46,202,167,258,294,384,426,234,230,180,212
"Fam178b",9,5,11,13,16,16,14,15,4,7,9,12
"Cox5b",486,304,2554,2050,1795,1970,1575,1810,1065,857,1344,1429
"Actr1b",43,26,242,206,150,166,125,135,94,97,131,163
"Tmem131",32,24,143,127,145,116,85,122,73,48,101,112
"Inpp4a",29,39,80,60,74,103,55,76,44,50,89,65
"6330578E17Rik",27,21,153,125,89,114,58,97,39,49,83,106
"Unc50",71,43,347,297,197,236,235,223,128,112,195,226
"Mgat4a",8,5,35,29,27,32,15,26,22,14,17,27
"Tsga10",3,1,2,3,17,11,9,14,10,5,9,9
"Mitd1",41,29,145,102,135,168,150,165,93,73,124,92
"Mrpl30",206,130,1101,930,680,732,596,707,412,355,598,588
"Txndc9",80,53,316,313,316,370,344,348,180,157,285,257
"Eif5b",153,108,448,358,636,780,584,648,400,309,466,547
"Rev1",25,18,65,47,82,78,77,98,45,53,65,73
"Aff3",81,55,81,109,228,195,83,124,54,53,169,150
"Chst10",5,2,8,13,7,12,11,14,14,11,12,19
"Pdcl3",90,91,346,342,427,480,430,475,214,217,313,341
"Npas2",37,23,117,99,98,79,52,78,39,41,91,89
"Rpl31",1937,1491,24534,19396,12841,13790,8657,10732,7629,6577,9933,9887
"Tbc1d8",6,5,20,29,18,32,26,19,14,13,23,16
"D1Bwg0212e",10,10,83,67,59,61,49,68,29,31,49,46
"Rnf149",61,36,406,225,147,179,145,224,93,108,156,180
"Creg2",2,0,5,6,9,7,4,4,1,9,8,10
"Map4k4",122,72,485,306,361,388,312,401,260,186,309,282
"Il1r2",18,21,251,123,42,78,158,353,87,51,80,74
"Il1r1",112,73,807,374,315,426,495,578,373,340,309,270
"Il1rl2",3,1,5,3,2,1,7,4,1,0,2,3
"Il1rl1",5,7,270,32,17,17,9,7,0,6,10,1
"Mfsd9",2,0,1,8,5,2,2,5,0,1,2,4
"Mrps9",32,24,121,123,115,137,120,122,72,58,90,99
"Tgfbrap1",9,8,49,47,28,37,18,23,12,15,34,35
"AI597479",5,5,20,14,15,19,14,21,6,10,12,18
"Fhl2",26,16,127,144,87,80,95,134,55,52,56,67
"Nck2",4,4,21,14,12,20,14,11,7,9,12,9
"1500015O10Rik",828,500,621,1073,1328,1002,451,745,216,400,1808,2021
"Uxs1",2,2,6,7,7,6,4,11,7,11,12,9
"Tpp2",30,23,148,75,119,120,110,122,68,46,105,110
"1700029F09Rik",57,34,162,127,132,178,170,184,85,69,86,121
"Kdelc1",27,21,84,73,68,69,58,66,37,32,85,72
"Bivm",5,3,7,23,16,20,5,14,8,5,9,11
"Ercc5",12,16,48,58,62,79,73,98,40,26,49,51
"Gulp1",65,48,220,159,248,251,221,255,178,131,222,187
"Col3a1",3775,2672,17367,28087,7744,6262,6161,7402,1856,3294,18124,17868
"Col5a2",537,382,2771,3006,1449,1192,998,1222,498,590,2286,1982
"Wdr75",14,14,106,66,77,97,64,105,53,38,55,51
"Slc40a1",4,6,22,15,17,21,12,13,13,5,15,15
"Dnahc7b",5,0,5,5,3,7,8,7,1,3,7,8
"Slc39a10",19,12,106,74,57,56,68,48,29,28,56,61
"Tmeff2",150,112,343,347,458,530,360,521,279,257,420,404
"Sdpr",81,53,82,119,145,186,222,249,134,126,90,138
"Obfc2a",15,13,93,58,82,124,96,91,88,62,58,42
"Myo1b",11,9,51,45,49,29,41,47,35,28,32,48
"Stat1",24,12,67,60,66,54,66,67,33,59,68,54
"Gls",192,148,742,578,617,732,437,552,341,320,447,436
"Nab1",107,71,260,196,249,272,221,254,163,143,199,230
"Tmem194b",2,3,7,9,5,7,8,2,2,1,2,1
"Mfsd6",13,4,30,24,39,48,31,38,38,12,46,34
"Inpp1",9,4,38,46,38,48,29,48,28,24,49,34
"Hibch",16,9,65,53,65,62,40,53,25,24,50,52
"1700019D03Rik",30,22,51,39,122,126,100,141,53,81,89,94
"Mstn",3,1,83,76,9,21,6,24,16,5,11,8
"Pms1",2,4,7,8,6,6,3,4,6,6,6,5
"Ormdl1",14,9,31,36,34,57,32,42,13,15,21,29
"Osgepl1",8,8,38,28,36,44,41,43,16,17,18,23
"Asnsd1",32,18,176,134,108,115,105,109,62,65,64,85
"Stk17b",21,16,92,104,88,94,86,96,72,46,73,67
"Hecw2",10,8,41,37,63,55,42,53,36,27,37,38
"Gtf3c3",2,2,13,13,14,11,12,12,4,4,11,11
"Pgap1",4,5,21,14,12,11,5,10,9,7,11,21
"Ankrd44",11,11,51,34,31,43,38,48,24,20,37,28
"Sf3b1",361,236,839,692,1545,1867,2118,2190,1017,911,1029,1139
"Coq10b",358,216,1267,1004,1295,1678,1506,1553,1006,857,1095,1092
"Hspd1",361,324,1531,1305,1125,1862,1701,2198,801,638,884,957
"Hspe1",872,684,5778,4566,2589,3431,3134,4180,1972,1648,2343,2475
"Mob4",99,64,369,289,337,419,336,401,230,199,226,298
"Rftn2",36,24,108,123,114,105,110,107,61,48,106,111
"Mars2",4,5,39,11,14,31,23,32,13,15,20,15
"Plcl1",9,8,43,29,28,24,32,31,18,17,36,27
"Satb2",1,1,5,1,8,7,5,4,4,1,3,3
"1700066M21Rik",2,3,14,12,3,8,8,8,3,3,7,9
"1110034B05Rik",20,8,41,61,34,42,41,49,25,26,32,29
"9430016H08Rik",13,19,98,71,69,69,72,61,33,25,56,56
"Spats2l",56,34,63,112,149,173,119,132,52,70,175,192
"Kctd18",7,10,50,28,23,42,38,24,17,13,36,30
"Aox1",5,6,57,58,54,50,41,52,28,31,44,36
"Aox3",2,1,38,15,34,34,50,55,41,20,8,8
"Bzw1",221,148,766,557,865,1105,847,967,454,409,659,708
"Clk1",194,133,624,554,699,849,820,769,446,392,652,584
"Ppil3",35,19,127,130,95,85,80,108,54,55,83,80
"Nif3l1",8,6,33,38,28,35,23,36,5,19,21,33
"Orc2",12,13,73,62,61,68,55,51,43,18,41,55
"Fam126b",8,7,17,21,38,36,23,50,22,24,21,23
"Ndufb3",121,109,725,673,497,627,478,588,315,263,426,493
"Gm20257",9,4,29,30,25,22,21,16,14,10,18,15
"Cflar",87,80,303,241,314,333,259,319,179,187,279,244
"Casp8",28,24,129,101,99,86,80,112,62,47,75,83
"Trak2",38,36,188,135,135,135,90,114,68,67,125,103
"Stradb",4,1,10,23,12,17,9,15,7,8,7,6
"Als2cr4",64,41,160,159,151,203,167,193,84,89,137,135
"Als2",8,3,13,11,11,16,17,13,8,12,11,6
"Fzd7",26,21,77,62,57,64,53,70,71,55,62,58
"Sumo1",377,318,1520,1222,1267,1578,1280,1436,729,691,1129,1147
"Nop58",552,328,1332,825,2416,3278,2752,2463,1440,1091,1470,1396
"Bmpr2",16,13,37,24,48,58,55,56,30,27,43,43
"Fam117b",5,6,76,51,38,44,37,54,33,20,31,35
"Wdr12",20,9,97,57,69,57,56,56,34,37,38,59
"Carf",2,0,1,7,0,2,2,1,1,1,0,1
"Nbeal1",46,47,102,71,245,230,217,251,168,123,184,187
"Cyp20a1",1,3,1,2,7,12,13,13,10,10,9,11
"Abi2",24,16,67,62,78,109,71,115,63,47,77,89
"Raph1",72,59,224,158,301,355,215,242,159,135,275,224
"Icos",0,1,1,0,2,2,7,12,11,2,3,2
"Pard3b",56,50,99,79,175,193,182,240,104,125,130,121
"Nrp2",35,28,171,108,113,131,88,140,93,86,94,85
"4930487H11Rik",2,1,9,12,11,11,7,14,13,11,5,11
"Ino80d",45,44,137,141,228,211,118,164,87,91,138,136
"Gm11602",2,0,1,1,5,6,3,4,4,1,2,1
"Ndufs1",24,30,138,111,142,183,154,199,65,82,108,100
"Eef1b2",593,400,6625,5366,3418,3876,2391,3206,1999,1728,2711,2659
"Gpr1",8,4,45,39,29,86,55,84,44,45,18,11
"Zdbf2",1,3,7,4,17,17,14,13,6,5,7,7
"Adam23",27,15,229,166,78,78,83,94,43,55,75,93
"Fastkd2",10,5,30,38,18,35,33,23,16,12,18,13
"Klf7",81,55,195,156,222,298,302,333,215,172,193,212
"Creb1",56,41,203,145,195,207,169,171,123,102,158,151
"Mettl21a",13,7,48,64,40,57,43,55,25,26,49,47
"Ccnyl1",20,21,115,63,59,107,49,75,40,35,59,63
"Fzd5",16,13,88,47,43,59,57,43,26,39,35,51
"Plekhm3",14,1,66,53,27,44,45,37,24,31,35,39
"Idh1",57,51,319,351,250,273,241,277,113,113,238,220
"Pikfyve",19,10,76,43,48,62,37,45,22,27,52,41
"Mtap2",13,5,40,24,31,33,9,19,13,19,29,29
"Rpe",24,18,96,111,70,76,53,82,43,44,88,82
"1110028C15Rik",23,17,48,35,96,118,80,83,57,57,76,84
"Acadl",68,61,307,251,274,328,296,305,152,128,266,207
"Myl1",25,32,17,54,56,97,70,56,24,23,31,28
"Lancl1",28,22,153,141,134,129,122,124,69,67,106,76
"Ikzf2",4,2,14,9,14,18,12,16,14,7,17,16
"Atic",34,25,179,182,142,152,119,132,77,53,111,89
"Fn1",1339,1120,7105,6754,5361,4572,3454,4842,1691,1786,4994,4973
"Mreg",0,2,5,2,6,3,7,4,3,3,2,1
"Pecr",10,4,88,61,43,68,70,73,37,22,37,35
"Tmem169",1,2,1,5,1,3,3,0,1,1,3,9
"Xrcc5",15,11,52,43,47,85,67,63,38,25,49,43
"Smarcal1",11,7,25,26,23,29,19,25,15,13,25,22
"Rpl37a",5454,3857,36806,28622,24383,26854,18147,21614,14310,12026,18821,18471
"Igfbp2",8,3,8,4,4,11,6,1,4,5,27,8
"Igfbp5",1632,1391,2417,3716,4946,5826,3573,4888,1774,2513,3337,4431
"Tns1",142,112,439,427,458,478,316,453,262,231,365,418
"Arpc2",601,451,2516,2022,2016,2119,1598,1973,999,945,1461,1572
"Aamp",190,137,683,618,585,727,582,729,326,344,530,547
"Pnkd",120,78,394,375,265,352,236,289,162,137,297,324
"Tmbim1",183,146,871,639,594,717,478,504,377,316,518,499
"Slc11a1",3,0,13,6,4,8,7,9,4,2,10,6
"Ctdsp1",131,111,564,475,366,403,282,373,271,224,344,419
"Usp37",54,20,162,109,146,190,218,190,143,112,107,119
"Rqcd1",17,4,58,58,34,41,33,34,21,24,25,34
"Zfp142",7,12,38,31,26,30,17,24,11,17,21,18
"Bcs1l",7,5,30,35,23,33,35,26,12,11,26,29
"Rnf25",14,13,65,55,52,48,42,55,27,30,39,46
"Ttll4",1,1,14,12,12,3,3,6,4,2,7,7
"Cyp27a1",48,27,175,165,156,214,261,275,163,101,121,127
"Wnt6",34,11,34,38,28,42,22,34,11,24,29,42
"Wnt10a",9,4,8,14,15,10,9,4,7,2,4,6
"Nhej1",7,4,20,24,11,19,16,20,12,10,15,14
"Slc23a3",2,1,3,4,0,1,2,0,4,1,6,2
"1810031K17Rik",39,21,156,174,122,142,71,121,96,84,106,85
"Fam134a",70,49,371,329,192,257,157,207,131,113,187,217
"Zfand2b",28,22,100,125,105,116,127,104,77,68,96,95
"Abcb6",7,7,43,50,28,33,21,35,18,21,21,22
"Atg9a",22,18,100,88,65,72,48,68,53,36,70,65
"Ankzf1",6,3,22,21,9,14,12,19,5,9,14,11
"Glb1l",13,4,43,34,26,31,39,28,17,11,24,24
"Stk16",66,38,322,264,210,182,143,176,113,104,177,230
"Tuba4a",87,54,435,244,395,685,740,683,473,317,138,116
"Dnajb2",63,35,236,223,223,328,187,228,174,150,204,187
"Dnpep",80,60,295,333,287,405,322,386,195,148,263,266
"Des",42,25,238,180,164,152,297,374,229,197,98,78
"Speg",2,2,9,12,7,8,10,11,6,5,9,8
"Gmppa",57,37,242,272,167,196,158,206,102,78,176,197
"Chpf",129,105,392,454,363,373,249,321,158,185,429,461
"Tmem198",1,5,19,6,8,15,5,13,9,8,9,9
"Obsl1",9,4,27,21,18,26,10,20,10,8,27,27
"Inha",0,3,10,5,4,3,8,6,1,1,3,3
"Stk11ip",4,2,23,17,21,11,9,11,9,9,13,21
"Slc4a3",16,11,47,71,49,59,52,77,36,27,59,44
"Epha4",20,11,40,29,44,56,49,90,32,53,76,86
"Farsb",40,30,168,148,121,149,126,129,81,72,99,104
"Acsl3",38,29,170,107,122,149,174,165,93,89,100,105
"Utp14b",3,5,17,15,32,43,38,29,21,28,27,27
"Kcne4",36,28,158,90,100,137,212,211,135,83,49,70
"Wdfy1",28,18,127,77,83,83,87,127,53,50,73,71
"Mrpl44",7,3,24,35,24,21,16,17,11,8,18,22
"Serpine2",403,218,4854,3444,1608,1993,4199,4826,2220,1602,866,896
"Cul3",58,51,274,170,187,201,181,185,106,86,164,151
"Dock10",7,12,69,45,41,32,28,30,30,17,39,30
"Irs1",13,10,64,70,45,63,44,57,36,28,60,46
"Rhbdd1",13,11,44,44,34,39,27,45,35,12,45,25
"Col4a4",7,5,44,22,21,21,60,53,33,21,30,27
"Col4a3",11,4,34,39,21,21,64,44,18,32,32,27
"Mff",102,69,526,482,377,441,330,390,228,217,384,343
"Agfg1",67,48,233,147,225,232,150,215,109,109,151,166
"Pid1",69,62,215,180,200,220,205,241,128,110,202,195
"Trip12",71,48,269,215,258,241,189,237,101,129,187,163
"Fbxo36",8,6,48,42,34,33,39,37,15,7,17,39
"A530032D15Rik",3,0,5,5,13,19,7,5,5,7,6,8
"Gm7609",5,2,1,4,6,9,2,9,1,3,4,2
"C130026I21Rik",4,6,2,2,15,42,10,10,3,4,2,0
"Sp110",30,18,88,54,134,161,126,152,59,57,99,87
"Sp140",24,13,91,74,77,136,94,144,68,60,79,64
"Sp100",28,15,49,36,61,106,58,91,43,38,56,47
"Cab39",58,50,277,217,238,197,203,263,137,126,167,199
"Itm2c",436,304,2233,2168,1429,1507,1552,1845,811,761,1509,1622
"Psmd1",77,66,414,357,402,449,372,408,213,185,285,326
"Htr2b",5,0,3,0,0,1,6,1,1,2,11,3
"Armc9",6,4,16,12,17,14,5,12,5,6,16,20
"Ncl",463,371,1851,1086,2023,2427,2156,2123,1063,929,1327,1267
"C130036L24Rik",2,0,14,16,10,4,5,7,5,4,6,6
"Ptma",3381,2393,14571,11391,12122,14451,10070,11704,8021,7070,10007,9936
"Pde6d",76,47,279,301,238,226,180,266,128,145,218,232
"Cops7b",8,3,25,25,16,16,8,15,11,8,18,8
"Nppc",46,90,69,37,54,224,165,222,81,111,226,167
"Dis3l2",8,3,25,22,22,22,30,21,12,10,12,14
"Eif4e2",111,85,632,489,393,375,324,402,189,195,423,345
"Efhd1",170,151,336,524,788,917,854,1181,321,353,501,548
"Gigyf2",10,13,54,45,56,52,50,55,29,30,51,44
"Kcnj13",8,3,6,6,6,7,2,6,1,1,5,8
"Ngef",4,5,38,45,32,26,9,19,7,8,20,21
"Neu2",0,0,1,0,2,2,1,10,4,0,4,4
"Inpp5d",1,2,5,1,2,4,6,4,6,6,4,0
"Atg16l1",10,7,63,38,32,28,36,46,31,23,32,37
"Dgkd",16,9,69,56,46,42,31,51,24,39,48,21
"Usp40",8,8,9,23,33,28,29,35,13,10,30,25
"Dnajb3",2,0,11,8,2,3,8,4,3,3,4,3
"Hjurp",7,12,36,29,40,36,22,34,28,28,26,34
"Arl4c",7,7,14,22,33,24,19,17,8,16,23,25
"Sh3bp4",21,10,47,39,80,77,43,58,37,34,53,61
"Agap1",102,54,356,360,277,294,230,319,158,137,285,239
"Cxcr7",779,437,2464,2559,3102,3017,3394,3911,1646,1389,1961,1990
"Cops8",120,75,600,445,377,546,390,415,288,227,346,374
"Col6a3",526,364,4720,4874,1910,1630,1093,1561,651,776,2379,2406
"Lrrfip1",55,31,144,153,194,200,120,164,79,82,167,189
"Ramp1",87,54,672,684,216,409,630,657,445,298,201,161
"Ube2f",147,96,637,383,401,444,334,422,233,225,349,328
"Scly",13,13,81,52,40,43,41,60,34,31,36,47
"Fam132b",4,1,32,24,21,20,20,28,19,7,25,11
"Ilkap",99,65,464,394,312,375,271,343,205,159,275,241
"Hes6",14,11,40,64,39,44,32,39,20,15,31,31
"Per2",10,9,26,18,25,28,22,28,24,10,15,22
"Traf3ip1",6,5,15,17,11,16,12,15,10,12,11,18
"Asb1",8,5,24,39,35,23,20,28,16,10,17,28
"Twist2",50,37,260,239,190,197,183,172,103,71,127,150
"Hdac4",28,17,78,69,91,85,79,110,59,54,63,91
"Ndufa10",99,64,237,241,328,341,258,340,192,149,272,298
"Myeov2",298,208,1517,1433,997,1130,771,942,531,490,1014,1013
"Gpc1",40,17,132,164,67,58,58,75,37,46,77,87
"Dusp28",11,2,36,49,29,34,28,37,25,22,37,38
"Rnpepl1",31,23,137,153,104,111,63,112,56,63,100,118
"9430060I03Rik",2,0,5,2,5,3,3,5,3,4,2,1
"Capn10",1,3,11,17,11,9,14,14,10,12,17,17
"Kif1a",3,3,4,3,11,5,2,8,5,4,10,12
"Sned1",1,1,7,4,7,14,3,9,2,2,6,7
"Mterfd2",8,4,28,23,22,22,21,36,7,10,22,25
"Ppp1r7",13,13,102,94,90,94,78,94,53,43,71,76
"Hdlbp",243,170,1218,990,828,932,660,815,430,408,809,768
"Sept2",297,253,994,976,815,866,675,725,396,400,820,799
"Farp2",6,3,19,19,15,15,9,21,19,13,14,13
"Stk25",103,63,470,406,301,326,284,299,201,160,271,302
"Bok",39,22,95,116,104,93,75,88,50,46,66,59
"Thap4",16,17,74,76,69,79,71,93,56,39,61,66
"Atg4b",34,29,121,99,91,109,97,110,65,66,92,85
"Dtymk",57,25,337,294,232,291,189,244,107,105,202,231
"Ing5",19,25,73,53,84,96,94,103,59,51,70,62
"D2hgdh",11,4,13,19,12,17,11,17,12,5,17,19
"Fam174a",103,60,375,346,281,305,253,308,154,158,235,287
"St8sia4",0,0,3,3,5,2,6,3,4,2,8,5
"D1Ertd622e",18,13,77,69,64,77,64,94,41,37,49,57
"Ppip5k2",7,4,17,15,16,12,18,16,6,5,19,21
"Gin1",6,2,13,9,14,20,21,18,9,10,11,11
"Pam",904,602,1286,1123,1588,1552,975,1161,522,483,1221,1234
"B230216N24Rik",9,7,6,12,21,17,19,21,19,12,17,6
"Rnf152",2,1,2,4,7,5,3,7,1,1,6,7
"Pign",12,8,65,42,42,37,26,46,20,23,40,25
"2310035C23Rik",13,6,52,36,55,32,35,41,27,17,38,34
"Zcchc2",6,7,47,31,33,36,16,19,16,13,21,23
"Phlpp1",12,15,58,52,53,70,45,60,30,33,33,56
"Bcl2",34,35,231,113,102,128,103,175,99,93,94,90
"Kdsr",45,36,262,200,175,165,155,164,116,93,116,117
"Vps4b",64,38,224,175,166,192,163,159,109,77,162,144
"Serpinb5",9,5,1,0,0,0,2,0,0,0,13,0
"Serpinb2",0,3,29,1,24,2,0,0,3,0,0,13
"Serpinb8",2,1,10,10,11,21,8,7,5,2,14,4
"Dsel",40,19,135,123,126,112,99,107,57,67,123,111
"Tsn",115,66,460,377,416,528,466,539,267,220,378,378
"Mki67ip",77,54,359,189,221,242,171,172,118,90,121,123
"Clasp1",31,27,61,65,70,85,69,69,39,43,68,70
"2900060B14Rik",8,9,39,47,40,47,42,41,44,35,29,34
"Gli2",11,9,44,54,41,54,24,36,25,14,56,53
"Inhbb",21,11,118,101,63,85,48,49,71,32,52,47
"Ralb",71,49,231,239,193,223,210,277,150,161,201,167
"Tmem185b",24,24,141,85,83,83,85,103,63,62,77,61
"Epb4.1l5",6,5,2,4,10,27,23,21,11,9,4,12
"Ptpn4",1,0,7,11,1,7,5,9,1,1,1,4
"Tmem177",1,1,9,12,5,7,7,9,4,2,7,4
"Tmem37",2,2,17,16,3,7,5,19,3,4,8,6
"Dbi",521,355,2770,2125,1972,2438,2098,2357,1191,940,1315,1487
"3110009E18Rik",11,10,51,48,43,42,35,38,34,28,32,39
"Steap3",170,105,634,516,493,581,429,654,278,321,483,538
"En1",38,36,126,75,114,112,72,97,47,36,76,84
"Insig2",94,63,337,342,339,376,306,351,189,177,333,310
"Ccdc93",7,9,33,21,29,40,29,27,18,16,33,29
"Ddx18",58,42,205,139,234,231,215,229,130,110,149,162
"Actr3",293,187,1173,915,1003,1147,874,1056,583,532,842,879
"Slc35f5",124,89,410,347,352,433,343,384,279,220,344,329
"Lypd1",0,2,5,2,9,7,2,0,1,0,8,10
"Nckap5",13,4,30,20,21,22,32,27,17,14,26,23
"Mgat5",2,3,2,3,6,3,4,4,4,0,2,1
"2900009J06Rik",3,0,15,7,8,9,7,6,3,0,7,10
"Ccnt2",7,10,36,28,21,24,30,18,15,15,27,23
"Rab3gap1",32,19,79,60,75,91,76,73,50,47,69,53
"R3hdm1",22,28,102,63,96,105,78,87,67,58,65,93
"Ubxn4",217,137,622,441,871,1042,834,973,627,550,713,753
"Mcm6",21,21,87,69,75,86,63,71,29,28,53,42
"Dars",49,34,260,208,205,213,164,227,121,88,162,156
"Cxcr4",0,3,12,14,1,3,5,8,3,2,5,5
"Cd55",198,170,462,454,974,1066,828,943,287,406,511,547
"Pfkfb2",5,5,33,31,24,33,20,26,15,19,23,31
"Yod1",23,7,36,21,50,73,59,65,53,45,57,29
"AA986860",2,2,4,3,3,3,5,5,3,3,1,2
"Faim3",0,0,1,0,2,2,1,6,9,9,9,4
"Mapkapk2",105,89,708,397,337,329,269,331,208,212,225,264
"Eif2d",43,20,104,78,74,68,67,83,40,44,76,67
"Rassf5",32,20,211,170,91,101,112,185,95,85,91,98
"Ikbke",5,7,38,38,20,19,36,27,14,18,21,27
"Srgap2",24,33,72,64,88,93,63,102,65,53,71,70
"Fam72a",4,1,24,24,13,13,12,17,10,9,16,9
"5430435G22Rik",56,43,207,216,164,218,181,236,113,109,162,175
"Slc41a1",131,92,561,369,466,538,356,409,255,248,401,337
"Rab7l1",9,9,54,36,32,26,31,31,7,14,35,26
"Nucks1",125,77,481,366,514,509,408,524,247,233,339,443
"Slc45a3",0,3,4,3,4,6,2,2,4,3,1,6
"Elk4",4,6,12,9,17,20,15,18,12,9,10,14
"Mfsd4",8,7,61,38,43,41,31,45,32,31,31,32
"Klhdc8a",6,4,5,11,10,12,11,4,7,5,12,15
"Nuak2",32,18,116,74,95,102,115,139,68,77,94,91
"Tmcc2",17,9,37,46,44,38,41,44,23,13,36,45
"Dstyk",21,10,76,61,59,64,57,62,26,36,57,41
"Rbbp5",5,6,36,45,11,29,12,17,10,16,11,21
"Nfasc",5,4,10,6,8,8,4,9,1,4,3,2
"Lrrn2",6,3,59,65,38,24,29,25,9,19,50,60
"Mdm4",6,7,25,21,26,46,35,43,22,23,32,20
"Pik3c2b",4,3,4,10,12,15,8,11,1,10,15,16
"Ppp1r15b",74,72,369,247,291,344,217,290,182,159,220,229
"Plekha6",30,24,84,76,117,115,58,70,58,49,99,96
"Etnk2",9,3,5,8,14,17,8,15,4,7,7,4
"Sox13",14,15,53,60,53,53,40,79,30,22,35,43
"Snrpe",168,105,1195,954,738,840,690,767,460,378,653,696
"Zc3h11a",165,145,635,524,719,834,576,744,393,402,620,590
"Zbed6",32,29,28,25,110,153,132,148,75,80,111,119
"Lax1",7,1,11,9,10,14,11,10,3,6,7,6
"Atp2b4",61,39,195,184,232,190,212,255,132,135,157,172
"Optc",4,4,5,11,13,9,12,13,6,5,9,7
