"model","signature_rank","gene","age_only_logFC","age_only_t","age_only_p_value","age_only_adj_p_value","sex_linked_flag","module","reliability_pass","weight","rank_score","training_mean","training_sd"
"age_only_de",1,"Plcb1",-8.82020002680207,-7.11937216759547,1.60303430501077e-07,0.000687113937604448,FALSE,"young_high",TRUE,62.7942865834395,62.7942865834395,1.49167512824088,1.80120312236594
"age_only_de",2,"Dgkb",-8.1569038906852,-5.47175888680637,1.02248368960229e-05,0.0105784138838537,FALSE,"young_high",TRUE,44.6326113526822,44.6326113526822,0.717594513415339,1.25367525339528
"age_only_de",3,"Gm16515",-8.4306172432411,-5.00034219879304,3.49722850716475e-05,0.0179883445494526,FALSE,"young_high",TRUE,42.1559711632508,42.1559711632508,1.21383234131561,1.5513624593217
"age_only_de",4,"Nek4",-8.04739177933481,-4.96440036059619,3.84235294162495e-05,0.0182995616579093,FALSE,"young_high",TRUE,39.9504746511886,39.9504746511886,1.04641774611754,1.7850385997339
"age_only_de",5,"Brwd3",-7.62657437709915,-5.1375827386335,2.4423562487673e-05,0.0136548952186516,FALSE,"young_high",TRUE,39.1821568746891,39.1821568746891,0.986811693487687,1.3634976560538
"age_only_de",6,"Fam132b",-8.82844464885764,-4.37801757956568,0.000178619469852351,0.0326853506637559,FALSE,"young_high",TRUE,38.6510858729213,38.6510858729213,1.56431413861725,2.65723731574504
"age_only_de",7,"Olfr267",-7.40799619164652,-4.68327079711459,8.02820514266438e-05,0.0250996630076344,FALSE,"young_high",TRUE,34.6936522294742,34.6936522294742,0.580520190714533,1.09997635713477
"age_only_de",8,"Dhx34",-6.93827482933716,-4.6501841476119,8.75576373883843e-05,0.0255388227157032,FALSE,"young_high",TRUE,32.2642556231583,32.2642556231583,0.92739359345046,1.30487183539213
"age_only_de",9,"Suox",-7.01067716592001,-4.56555640426746,0.00010930517208284,0.0288449573347794,FALSE,"young_high",TRUE,32.0076420331177,32.0076420331177,2.08961701822246,1.99217207303308
"age_only_de",10,"A630033H20Rik",-7.1736104469298,-4.40000802695752,0.000168632938166594,0.0323649395803617,FALSE,"young_high",TRUE,31.5639435487575,31.5639435487575,1.048112129488,1.53653561174097
