HALLMARK_E2F_TARGETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALLMARK_G2M_CHECKPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abl1,Amd1,Arid4a,Atf5,Atrx,Aurka,Aurkb,Bard1,Bcl3,Birc5,Brca2,Bub1,Bub3,Casp8ap2,Cbx1,Ccna2,Ccnb2,Ccnd1,Ccnf,Ccnt1,Cdc20,Cdc25a,Cdc25b,Cdc27,Cdc45,Cdc6,Cdc7,Cdk1,Cdk4,Cdkn1b,Cdkn2c,Cdkn3,Cenpa,Cenpe,Cenpf,Chaf1a,Chek1,Chmp1a,Cks1b,Cks2,Ctcf,Cul1,Cul3,Cul4a,Cul5,Dbf4,Ddx39a,Dkc1,Dmd,Dr1,Dtymk,E2f1,E2f2,E2f3,E2f4,Efna5,Egf,Espl1,Ewsr1,Exo1,Ezh2,Fancc,Fbxo5,Foxn3,G3bp1,Gins2,Gspt1,H2ax,H2az1,H2az2,H2bc12,Hif1a,Hira,Hmga1b,Hmgb3,Hmmr,Hnrnpd,Hnrnpu,Hoxc10,Hspa8,Hus1,Ilf3,Incenp,Jpt1,Katna1,Kif11,Kif15,Kif20b,Kif22,Kif23,Kif2c,Kif4,Kif5b,Kmt5a,Knl1,Kpnb1,Lbr,Lig3,Lmnb1,Mad2l1,Map3k20,Mapk14,Marcks,Mcm2,Mcm3,Mcm5,Mcm6,Meis1,Meis2,Mki67,Mnat1,Mtf2,Mybl2,Myc,Nasp,Ncl,Ndc80,Nek2,Nolc1,Notch2,Nsd2,Numa1,Nup50,Nup98,Nusap1,Odc1,Odf2,Orc5,Orc6,Pafah1b1,Pbk,Pds5b,Plk1,Plk4,Pml,Pola2,Pole,Polq,Prc1,Prim2,Prmt5,Prpf4b,Pttg1,Pura,Racgap1,Rad21,Rad23b,Rad54l,Rasal2,Rbl1,Rpa2,Rps6ka5,Sap30,Sfpq,Slc12a2,Slc38a1,Slc7a1,Slc7a5,Smad3,Smarcc1,Smc1a,Smc2,Smc4,Snrpd1,Sqle,Srsf1,Srsf10,Srsf2,Ss18,Stag1,Stil,Stmn1,Suv39h1,Syncrip,Tacc3,Tent4a,Tfdp1,Tgfb1,Tle3,Tmpo,Tnpo2,Top1,Top2a,Tpx2,Tra2b,Traip,Troap,Ttk,Ube2c,Ube2s,Uck2,Upf1,Wrn,Xpo1,Ythdc1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALLMARK_MITOTIC_SPINDLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abi1,Abl1,Abr,Actn4,Akap13,Alms1,Als2,Anln,Apc,Arap3,Arf6,Arfgef1,Arfip2,Arhgap10,Arhgap27,Arhgap29,Arhgap4,Arhgap5,Arhgdia,Arhgef11,Arhgef12,Arhgef2,Arhgef3,Arhgef7,Arl8a,Atg4b,Aurka,Bcar1,Bcl2l11,Bcr,Bin1,Birc5,Brca2,Bub1,Capzb,Ccdc88a,Ccnb2,Cd2ap,Cdc27,Cdc42,Cdc42bpa,Cdc42ep1,Cdc42ep2,Cdc42ep4,Cdk1,Cdk5rap2,Cenpe,Cenpf,Cep131,Cep192,Cep250,Cep57,Cep72,Ckap5,Clasp1,Clip1,Clip2,Cntrl,Cntrob,Cpap,Csnk1d,Cttn,Cyth2,Dlg1,Dlgap5,Dock2,Dock4,Dst,Dync1h1,Dynll2,Ect2,Epb41,Epb41l2,Espl1,Ezr,Farp1,Fbxo5,Fgd4,Fgd6,Flna,Flnb,Fscn1,Gemin4,Gsn,Hdac6,Hook3,Incenp,Itsn1,Katna1,Katnb1,Kif11,Kif15,Kif1b,Kif20b,Kif22,Kif23,Kif2c,Kif3b,Kif3c,Kif4,Kif5b,Kifap3,Klc1,Kntc1,Kptn,Lats1,Llgl1,Lmnb1,Lrpprc,Map1s,Map3k11,Mapre1,Marcks,Mark4,Mid1,Mid1ip1,Myh10,Myh9,Myo1e,Myo9b,Nck1,Nck2,Ndc80,Nedd9,Nek2,Net1,Nf1,Nin,Notch2,Numa1,Nusap1,Ophn1,Pafah1b1,Palld,Pcgf5,Pcm1,Pcnt,Pdlim5,Pif1,Pkd2,Plekhg2,Plk1,Ppp4r2,Prc1,Prex1,Pxn,Rab3gap1,Rabgap1,Racgap1,Ralbp1,Ranbp9,Rapgef5,Rapgef6,Rasa1,Rasa2,Rasal2,Rfc1,Rhof,Rhot2,Rictor,Rock1,Sac3d1,Sass6,Septin9,Shroom1,Shroom2,Smc1a,Smc3,Smc4,Sorbs2,Sos1,Sptan1,Sptbn1,Ssh2,Stau1,Stk38l,Sun2,Synpo,Taok2,Tbcd,Tiam1,Tlk1,Top2a,Tpx2,Trio,Tsc1,Ttk,Tuba4a,Tubd1,Tubgcp2,Tubgcp3,Tubgcp5,Tubgcp6,Uxt,Vcl,Wasf1,Wasf2,Wasl,Ywhae,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALLMARK_P53_PATHWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abat,Abcc5,Abhd4,Acvr1b,Ada,Aen,Ak1,Alox8,Ankra2,Apaf1,App,Atf3,Baiap2,Bak1,Bax,Blcap,Bmp2,Btg1,Btg2,Casp1,Ccnd2,Ccnd3,Ccng1,Ccnk,Ccp110,Cd81,Cd82,Cdh13,Cdk5r1,Cdkn1a,Cdkn2a,Cdkn2aip,Cdkn2b,Cebpa,Cgrrf1,Clca2,Coq8a,Csrnp2,Ctsd,Ctsf,Cyfip2,Dcxr,Ddb2,Ddit3,Ddit4,Def6,Dgka,Dnttip2,Dram1,Ei24,Elp1,Epha2,Ephx1,Eps8l2,Ercc5,F2r,Fam162a,Fas,Fbxw7,Fdxr,Fgf13,Fos,Foxo3,Fuca1,Gadd45a,Gls2,Gm2a,Gpx2,H1f2,H2ac25,H2aj,Hbegf,Hdac3,Hexim1,Hint1,Hmox1,Hras,Hspa4l,Ier3,Ier5,Ifi30,Il1a,Inhbb,Ip6k2,Irag2,Irak1,Iscu,Itgb4,Jag2,Jun,Kif13b,Klf4,Klk8,Krt17,Ldhb,Lif,Mapkapk3,Mdm2,Mknk2,Mxd1,Mxd4,Ndrg1,Nhlh2,Ninj1,Nol8,Notch1,Nudt15,Nupr1,Osgin1,Pcna,Pdgfa,Perp,Phlda3,Pidd1,Pitpnc1,Plk2,Plk3,Plxnb2,Pmm1,Polh,Pom121,Ppm1d,Ppp1r15a,Prkab1,Prmt2,Procr,Ptpn14,Ptpre,Pvt1,Rab40c,Rack1,Rad51c,Rad9a,Ralgds,Rap2b,Rb1,Rchy1,Retsat,Rgs16,Rhbdf2,Rnf19b,Rpl18,Rpl36,Rps12,Rps27l,Rrad,Rrp8,Rxra,S100a10,S100a4,Sat1,Sdc1,Sec61a1,Serpinb5,Sertad3,Sesn1,Sfn,Slc19a2,Slc35d1,Slc3a2,Slc7a11,Socs1,Sp1,Sphk1,St14,Steap3,Stom,Tap1,Tax1bp3,Tchh,Tcn2,Tgfa,Tgfb1,Tm4sf1,Tm7sf3,Tnfsf9,Tnni1,Tob1,Tpd52l1,Tprkb,Traf4,Trafd1,Triap1,Trib3,Trp53,Trp63,Tsc22d1,Tspyl2,Txnip,Upp1,Vamp8,Vdr,Vwa5a,Wrap73,Wwp1,Xpc,Zbtb16,Zfp365,Zfp36l1,Zmat3
