"contrast","metric","observed_difference","bootstrap_q025","bootstrap_median","bootstrap_q975","valid_draws","requested_draws"
"M4_minus_M1","auc",0,0,0,0,4445,5000
"M4_minus_M1","all_age_rho",-0.0218356573370572,-0.141987211028083,0,0,5000,5000
"M4_minus_M1","old_only_rho",-0.0389249472080762,-0.232496069020046,0,0,4997,5000
"M4_minus_M1","young_minus_old_median",0.0030971241754037,-0.0201434359412845,-0.00097034316862743,0.0256150862659803,4445,5000
"M4_minus_M1","all_gene_library_rho",-0.00699300699300699,-0.255493285191054,0,0.264154312668464,5000,5000
"M4_minus_M1","filtered_DGE_library_rho",-0.00699300699300699,-0.255493285191054,0,0.264154312668464,5000,5000
"M4_minus_M1","effective_library_rho",-0.00699300699300699,-0.250922509225092,0,0.262773722627737,5000,5000
"M4_minus_M1","cell_count_rho",-0.00699300699300698,-0.255493285191054,0,0.264154312668464,5000,5000
"M4_minus_M1","detected_genes_rho",-0.027972027972028,-0.258064516129032,0,0.185730926779314,5000,5000
