"model","age","control_arm","n_sokm","n_control","sokm_median","control_median","median_difference","sokm_mean","control_mean","mean_difference"
"M1_raw_all_gene_denominator","Young","Tg+/Dox-",3,3,0.42165939703617,0.486446787348351,-0.0647873903121804,0.431524886948507,0.474147252238288,-0.0426223652897808
"M1_raw_all_gene_denominator","Young","Tg-/Dox+",3,3,0.42165939703617,0.50034439076023,-0.0786849937240596,0.431524886948507,0.481816233815085,-0.0502913468665784
"M1_raw_all_gene_denominator","Aged","Tg+/Dox-",3,3,0.415035427686891,0.429849427940038,-0.0148140002531463,0.433226399565773,0.42898176918793,0.0042446303778434
"M1_raw_all_gene_denominator","Aged","Tg-/Dox+",3,3,0.415035427686891,0.455026395277766,-0.0399909675908751,0.433226399565773,0.444669379451411,-0.0114429798856374
"M4_raw_all_gene_denominator_pi_0_90","Young","Tg+/Dox-",3,3,0.333149778174166,0.41372367282845,-0.0805738946542835,0.346893054262003,0.415716272078563,-0.0688232178165595
"M4_raw_all_gene_denominator_pi_0_90","Young","Tg-/Dox+",3,3,0.333149778174166,0.448145397359298,-0.114995619185132,0.346893054262003,0.420429268013968,-0.0735362137519645
"M4_raw_all_gene_denominator_pi_0_90","Aged","Tg+/Dox-",3,3,0.318003003622136,0.363469028497344,-0.0454660248752076,0.342186064591808,0.365191149455514,-0.0230050848637053
"M4_raw_all_gene_denominator_pi_0_90","Aged","Tg-/Dox+",3,3,0.318003003622136,0.385568534691145,-0.0675655310690086,0.342186064591808,0.374426633762098,-0.0322405691702893
