"model","frozen_role","signature_genes","facs_nested_auc","facs_all_age_rho","facs_old_only_rho","facs_raw_library_rho","facs_cell_count_rho","permutation_abs_rho","permutation_z_null","permutation_empirical_p","gse_min_module_weighted_coverage","gse_young_higher_both_controls","gse_sokm_lower_both_controls_young","gse_sokm_lower_both_controls_aged","droplet_min_module_weighted_coverage","droplet_auc","droplet_all_age_rho","droplet_old_only_rho","droplet_all_gene_library_rho","droplet_effective_library_rho","droplet_cell_count_rho","droplet_detected_genes_rho"
"M1","primary_deployable_reference",58,1,-0.806348437214212,-0.109108945117996,-0.692307692307692,-0.556656002410905,0.806348437214212,1.95262576595595,0.023,0.870263920206129,TRUE,TRUE,TRUE,1,1,-0.807919321471122,-0.661724102537294,-0.027972027972028,-0.048951048951049,-0.0979020979020979,0.335664335664336
"M4","post_ablation_exploratory_secondary",29,1,-0.843853015689292,-0.327326835353989,-0.727472527472527,-0.558856223764308,0.843853015689292,2.17662500131931,0.01,0.922478445948111,TRUE,TRUE,TRUE,1,1,-0.829754978808179,-0.700649049745371,-0.034965034965035,-0.055944055944056,-0.104895104895105,0.307692307692308
