age,age_months,youth_score,donors,cells
18m,18.0,0.21483719824244904,4,2957
1m,1.0,0.44787753334209646,2,2356
21m,21.0,0.16225489973944923,2,2007
24m,24.0,0.11223810596636644,4,3217
30m,30.0,0.1421166288233433,2,1032
3m,3.0,0.2726303626088941,2,1468
