"version","control","n_successful_permutations","true_abs_rho_age","null_abs_rho_age_median","null_abs_rho_age_95pct","empirical_p_abs_rho","true_young_old_delta_calibrated","true_raw_young_old_delta","null_raw_delta_median","null_raw_delta_95pct","empirical_p_raw_delta","note","n_controls"
"Medium","age_label_permutation_training_pipeline",20,0.938933265493466,0.382124003398503,0.722760257856598,0.0476190476190476,1,3.24422018106894,-0.0506154715103217,0.90005873224205,0.0476190476190476,"reran training-side feature selection; not nested outer-LOMO null",NA
"Large","age_label_permutation_training_pipeline",20,0.938933265493466,0.393041832067032,0.722760257856598,0.0476190476190476,0.999999999999999,3.16486278843617,-0.135533723745984,0.999740794366778,0.0476190476190476,"reran training-side feature selection; not nested outer-LOMO null",NA
"Medium","expression_matched_random_gene_sets",NA,0.938933265493466,0.262027888044688,0.611398405437605,0.00332225913621262,1,3.24422018106894,-0.0390114631709647,0.216733345866359,0.00332225913621262,"score-level control matched by expression bins and signature size",300
"Medium","medium_weight_shuffle",NA,0.938933265493466,0.938933265493466,0.960768922830523,1,1,3.24422018106894,3.28972012505288,3.34169787545543,0.912087912087912,"same Medium genes; weights shuffled within modules",1000
