"version","rho_all","rho_old_only","median_young_stress","median_old","young_minus_old_median","old_18m_median","old_21m_median","old_24m_median","old_folds_below_young_stress_min","young_stress_note","old_male_median","old_female_median","old_male_minus_female_median","standardized_median_gap","wilcoxon_p","permutation_p_median_gap","interpretation_note","median_jaccard_all","median_jaccard_young_module","median_jaccard_old_module","min_jaccard_all","full_signature_size","full_signature_genes_in_at_least_75pct_outer_folds","full_signature_fraction_in_at_least_75pct_outer_folds","median_outer_fold_inclusion_frequency_for_full_signature","max_abs_tech_spearman_all","model_size","primary_candidate","role"
"Large",-0.960768922830523,-0.934198732993827,0.47317214645693,0.168134961356265,0.305037185100664,0.305406593865419,0.168134961356265,0.0653891369058403,10,"stress_test_only_training_has_one_young_mouse",0.0794367409840032,0.228856298590075,-0.149419557606072,-1.1207659111225,0.24095466870157,0.250874912508749,"p_values_auxiliary_do_not_define_acceptance",0.584164627642888,0.6,0.574803149606299,0.223241590214067,200,148,0.74,0.833333333333333,0.132867132867133,200,FALSE,"high_stability_comparator"
"Medium",-0.938933265493466,-0.934198732993827,0.444303446941994,0.15869811430369,0.285605332638304,0.294555969170646,0.15869811430369,0.0502561423026103,9,"stress_test_only_training_has_one_young_mouse",0.080921203420869,0.240511363224693,-0.159590159803824,-1.15511362177959,0.24095466870157,0.242775722427757,"p_values_auxiliary_do_not_define_acceptance",0.544424567680381,0.5625,0.538461538461538,0.162790697674419,100,70,0.7,0.833333333333333,0.0769230769230769,100,TRUE,"primary_candidate"
"Small",-0.698741034785835,-0.467099366496914,0.392576327157396,0.111698425459568,0.280877901697828,0.200595100324858,0.129563708196206,0.084189813779324,10,"stress_test_only_training_has_one_young_mouse",0.084189813779324,0.200595100324858,-0.116405286545535,-1.22120448099514,0.45554509378933,0.191080891910809,"p_values_auxiliary_do_not_define_acceptance",0.509433962264151,0.50997150997151,0.428571428571429,0.142857142857143,40,25,0.625,0.75,0.251748251748252,40,FALSE,"not_recommended"
