"version","sample_id","mouse_id","age_months","age_group","sex","cell_count","raw_library_size","effective_library_size","score_young_module_raw","score_old_module_raw","score_raw","young_reference_center","old_reference_center","youth_score_raw_calibrated","youth_score_clipped_0_1"
"Small","18-F-50","18-F-50",18,"Old","female",400,1722646,1902318.43515552,0.132366190649237,0.0502542576433334,0.0821119330059039,2.54161727793339,-0.684570232896886,0.237643399005497,0.237643399005497
"Small","18-F-51","18-F-51",18,"Old","female",271,1239789,1423752.4035187,0.195379644044871,0.439923877041703,-0.244544232996831,2.54161727793339,-0.684570232896886,0.136391948212214,0.136391948212214
"Small","18-M-52","18-M-52",18,"Old","male",1328,8763504,7608842.08250424,0.0425000754935543,-0.0968603005535812,0.139360376047136,2.54161727793339,-0.684570232896886,0.25538832016989,0.25538832016989
"Small","18-M-53","18-M-53",18,"Old","male",958,6985579,6656329.26495194,0.292463273619227,-0.251700545839338,0.544163819458565,2.54161727793339,-0.684570232896886,0.380862565560931,0.380862565560931
"Small","21-F-54","21-F-54",21,"Old","female",930,6380337,6287735.10364684,-0.716739473847962,0.12017488586753,-0.836914359715492,2.54161727793339,-0.684570232896886,-0.0472211011626536,0
"Small","21-F-55","21-F-55",21,"Old","female",1077,7289505,7188446.53740711,-0.762558003752771,0.188902714124067,-0.951460717876838,2.54161727793339,-0.684570232896886,-0.0827262780244493,0
"Small","24-M-58","24-M-58",24,"Old","male",921,5912381,5696324.17489846,-0.500644900758763,0.234205425743856,-0.73485032650262,2.54161727793339,-0.684570232896886,-0.0155849879887464,0
"Small","24-M-59","24-M-59",24,"Old","male",950,6885975,6866286.6679735,-0.380167437785815,0.254122701505337,-0.634290139291153,2.54161727793339,-0.684570232896886,0.0155849879887464,0.0155849879887464
"Small","24-M-60","24-M-60",24,"Old","male",746,3990979,3867104.39229373,-0.809541295856362,0.57760190748513,-1.38714320334149,2.54161727793339,-0.684570232896886,-0.217771895801492,0
"Small","24-M-61","24-M-61",24,"Old","male",600,3501277,3449269.83054896,-0.449848307118391,0.609819397535563,-1.05966770465395,2.54161727793339,-0.684570232896886,-0.116266481876168,0
"Small","3-F-56","3-F-56",3,"Young","female",715,5322010,5448135.75491567,1.39999989110753,-1.03747855232893,2.43747844343646,2.54161727793339,-0.684570232896886,0.967720774397851,0.967720774397851
"Small","3-F-57","3-F-57",3,"Young","female",753,5347509,5586614.4199669,1.55679034420564,-1.08896576822467,2.64575611243031,2.54161727793339,-0.684570232896886,1.03227922560215,1
"Medium","18-F-50","18-F-50",18,"Old","female",400,1722646,1902318.43515552,0.182725171308193,0.232570290858604,-0.0498451195504106,2.50533558598289,-0.738884595086052,0.21238986168584,0.21238986168584
"Medium","18-F-51","18-F-51",18,"Old","female",271,1239789,1423752.4035187,0.182544745806667,0.446204223599739,-0.263659477793072,2.50533558598289,-0.738884595086052,0.14648362033689,0.14648362033689
"Medium","18-M-52","18-M-52",18,"Old","male",1328,8763504,7608842.08250424,0.0919525112031159,-0.240063372094056,0.332015883297172,2.50533558598289,-0.738884595086052,0.330094882163754,0.330094882163754
"Medium","18-M-53","18-M-53",18,"Old","male",958,6985579,6656329.26495194,0.408049749785412,-0.442480839626514,0.850530589411926,2.50533558598289,-0.738884595086052,0.489922106327038,0.489922106327038
"Medium","21-F-54","21-F-54",21,"Old","female",930,6380337,6287735.10364684,-0.574302869191115,0.16433029138507,-0.738633160576185,2.50533558598289,-0.738884595086052,7.75022951074857e-05,7.75022951074857e-05
"Medium","21-F-55","21-F-55",21,"Old","female",1077,7289505,7188446.53740711,-0.710507613824907,0.152521186479091,-0.863028800303998,2.50533558598289,-0.738884595086052,-0.0382662699475106,0
"Medium","24-M-58","24-M-58",24,"Old","male",921,5912381,5696324.17489846,-0.630676807729684,0.282659730966286,-0.91333653869597,2.50533558598289,-0.738884595086052,-0.053773151596769,0
"Medium","24-M-59","24-M-59",24,"Old","male",950,6885975,6866286.6679735,-0.489928430905424,0.249207598690496,-0.739136029595919,2.50533558598289,-0.738884595086052,-7.75022951075199e-05,0
"Medium","24-M-60","24-M-60",24,"Old","male",746,3990979,3867104.39229373,-0.81913817060082,0.706705855793147,-1.52584402639397,2.50533558598289,-0.738884595086052,-0.242572756282102,0
"Medium","24-M-61","24-M-61",24,"Old","male",600,3501277,3449269.83054896,-0.447770281237221,0.651964210528132,-1.09973449176535,2.50533558598289,-0.738884595086052,-0.111228546935555,0
"Medium","3-F-56","3-F-56",3,"Young","female",715,5322010,5448135.75491567,1.34940536247713,-1.14586862675709,2.49527398923422,2.50533558598289,-0.738884595086052,0.996898608544702,0.996898608544702
"Medium","3-F-57","3-F-57",3,"Young","female",753,5347509,5586614.4199669,1.45764663290866,-1.0577505498229,2.51539718273156,2.50533558598289,-0.738884595086052,1.0031013914553,1
"Large","18-F-50","18-F-50",18,"Old","female",400,1722646,1902318.43515552,0.0906678872894583,0.288408550008441,-0.197740662718982,2.3904712533256,-0.774391535110579,0.182204067265909,0.182204067265909
"Large","18-F-51","18-F-51",18,"Old","female",271,1239789,1423752.4035187,0.142698260046972,0.257586856168644,-0.114888596121672,2.3904712533256,-0.774391535110579,0.208382790368862,0.208382790368862
"Large","18-M-52","18-M-52",18,"Old","male",1328,8763504,7608842.08250424,0.115882856566065,-0.302843398294661,0.418726254860725,2.3904712533256,-0.774391535110579,0.376988789002397,0.376988789002397
"Large","18-M-53","18-M-53",18,"Old","male",958,6985579,6656329.26495194,0.399544716703003,-0.402079469177723,0.801624185880725,2.3904712533256,-0.774391535110579,0.497972843167095,0.497972843167095
"Large","21-F-54","21-F-54",21,"Old","female",930,6380337,6287735.10364684,-0.584433453818817,0.167374232774446,-0.751807686593263,2.3904712533256,-0.774391535110579,0.00713580651895325,0.00713580651895325
"Large","21-F-55","21-F-55",21,"Old","female",1077,7289505,7188446.53740711,-0.575215070658443,0.250141401367384,-0.825356472025827,2.3904712533256,-0.774391535110579,-0.0161033638176873,0
"Large","24-M-58","24-M-58",24,"Old","male",921,5912381,5696324.17489846,-0.566457607053676,0.309721946618991,-0.876179553672667,2.3904712533256,-0.774391535110579,-0.0321619057022008,0
"Large","24-M-59","24-M-59",24,"Old","male",950,6885975,6866286.6679735,-0.479120349803489,0.317855033824405,-0.796975383627894,2.3904712533256,-0.774391535110579,-0.00713580651895325,0
"Large","24-M-60","24-M-60",24,"Old","male",746,3990979,3867104.39229373,-0.723043625967173,0.651796745896416,-1.37484037186359,2.3904712533256,-0.774391535110579,-0.189723497317779,0
"Large","24-M-61","24-M-61",24,"Old","male",600,3501277,3449269.83054896,-0.458848169644136,0.604656051124617,-1.06350422076875,2.3904712533256,-0.774391535110579,-0.0913507804238902,0
"Large","3-F-56","3-F-56",3,"Young","female",715,5322010,5448135.75491567,1.25369146019965,-1.08120874787813,2.33490020807778,2.3904712533256,-0.774391535110579,0.982441246599738,0.982441246599738
