"gene","3_38_F","3_39_F","3_10_M","3_11_M","3_8_M","3_9_M","18_46_F","18_47_F","18_45_M","18_53_M","24_58_M","24_59_M","24_60_M","24_61_M"
"Sh2b3",364,289,228,0,1499,104,1885,1619,14,0,29,0,152,663
"Sh2d1a",1,1,0,0,1,0,1,0,0,3,0,0,0,0
"Sh2d1b1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sh2d1b2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sh2d2a",1,1,1,0,1,0,35,0,0,0,0,0,100,0
"Sh2d3c",6,760,316,0,2,0,5,54,9,4,0,0,1870,2669
"Sh2d4a",576,1570,652,0,672,0,8,655,249,1011,1169,332,119,199
"Sh2d4b",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sh2d5",0,0,0,0,0,0,6,102,12,0,0,0,0,0
"Sh2d7",0,0,0,0,0,0,44,0,0,35,0,0,0,19
"Sh3bgr",47,0,13,0,22,0,0,12,0,0,167,0,0,1
"Sh3bgrl",3582,3198,2862,2667,10569,837,2471,5182,8571,1744,7399,2256,2088,2758
"Sh3bgrl2",0,5,0,0,0,3,0,3,0,8,0,0,0,0
"Sh3bgrl3",10905,5140,4025,1956,9134,1438,12602,7248,16927,32528,21557,21861,5562,4834
"Sh3bp1",84,13,55,0,406,53,440,372,245,1678,3,253,207,161
"Sh3bp2",44,354,121,1,799,99,283,15,2,12,227,0,1309,371
"Sh3bp4",181,305,295,303,1382,25,486,1989,780,3,152,5241,34,116
"Sh3bp5",856,39,290,437,1933,118,736,638,737,386,252,139,2187,3328
"Sh3bp5l",126,23,275,34,336,4,373,490,17,175,0,0,452,43
"Sh3d19",3082,2648,1156,742,4969,333,3165,3002,3587,5274,1243,1817,4606,2674
"Sh3gl1",10533,9759,2568,1556,9909,713,12910,12755,3256,8025,6283,62577,10324,10271
"Sh3gl2",0,132,0,0,132,0,0,0,2274,0,1226,0,0,0
"Sh3gl3",57,0,0,1,358,0,0,0,0,121,0,0,269,455
"Sh3glb1",10715,5873,5161,4232,9481,1195,13650,13232,6160,13152,16772,3981,16450,13797
"Sh3glb2",1471,2157,412,1059,3809,1189,4417,1870,4456,1190,4644,7244,4537,5282
"Sh3kbp1",4203,1752,1161,434,3086,338,1907,4759,5361,2635,3542,1582,5301,2403
"Sh3pxd2a",1529,1422,324,10,1066,177,348,565,2406,908,4798,940,1027,1435
"Sh3pxd2b",3275,3855,1731,732,1766,1055,2848,2892,4094,723,6438,1123,3726,865
"Sh3rf1",262,56,477,41,206,17,45,1102,571,233,61,0,562,2183
"Sh3rf2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sh3rf3",1,308,12,0,735,250,1051,342,0,155,0,6,0,2526
"Sh3tc1",439,390,0,0,212,0,8,0,18,22,0,0,0,0
"Sh3tc2",0,0,0,143,0,0,6,0,0,0,0,0,0,642
"Sh3yl1",325,94,41,100,89,0,254,14,406,0,34,0,64,613
"Shank1",1,0,0,3,23,2,0,0,0,225,0,0,0,76
"Shank2",34,54,9,0,1,0,39,0,0,1,0,0,0,2
"Shank3",0,1,0,2,93,20,0,0,0,0,0,0,0,0
"Sharpin",614,665,165,98,605,22,1189,826,4527,3032,3400,2149,1764,1343
"Shb",275,303,77,0,1263,79,1584,1453,216,886,1077,360,392,669
"Shbg",0,0,0,0,0,0,0,0,9,0,0,0,0,0
"Shc1",2364,1652,1332,777,5661,288,3234,5907,785,1873,4252,350,4487,2614
"Shc2",612,1021,155,93,736,206,638,1959,51,497,840,1184,1377,1099
"Shc3",0,0,52,0,0,0,0,8,0,980,0,0,0,0
"Shc4",0,0,0,0,0,0,0,1,0,127,0,0,0,0
"Shcbp1",0,0,0,0,1,0,15,58,2,0,0,0,0,0
"Shd",0,0,0,0,0,0,0,5,0,0,0,0,0,0
"She",438,77,75,2,314,59,317,0,0,151,0,1,0,1
"Shf",8,77,2,14,40,9,0,163,0,16,534,4,0,0
"Shfm1",5466,3596,2038,1171,4679,416,4327,5032,9720,6678,16451,9857,1101,2435
"Shh",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shisa2",146,0,5,0,584,0,0,0,9,0,78,268,0,0
"Shisa3",457,171,166,0,1001,32,186,0,508,1,152,20,3087,1600
"Shisa4",534,216,327,845,1107,17,1108,617,7,2407,2172,611,961,2045
"Shisa5",24936,20114,11357,7407,16138,1792,55727,38334,34953,38781,22331,20001,51611,32114
"Shisa6",0,38,0,0,380,0,0,0,7,85,801,0,0,0
"Shisa7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shisa9",0,0,0,0,0,0,0,0,10,0,0,0,0,0
